id_1,label_1,id_2,label_2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se,adjusted_p_by,adjusted_p_bh
GCST90042682,depression-family-mother,GCST90011808,prostate-cancer-3,-0.054,0.0842,-0.6406,0.5218,0.0332,0.0046,1.0536,0.0197,0.0092,0.0054,1.0,0.6911621550591328
GCST90011816,cervical-cancer-2,GCST90042670,prostate-cancer-father,-0.0502,0.1571,-0.3197,0.7492,0.0066,0.0013,1.0194,0.0085,0.0002,0.0051,1.0,0.8490744525547446
GCST004748,lung-carcinoma-1,GCST90042696,prostate-cancer-sibling,0.0305,0.186,0.164,0.8697,0.0013,0.0011,1.0049,0.0063,-0.002,0.0052,1.0,0.9245756457564576
GCST003769,depression-symptoms,GCST90043894,prostate-cancer-1,-0.0065,0.07,-0.0922,0.9265,0.0255,0.0037,1.0467,0.0156,0.005,0.0052,1.0,0.9618755784061697
GCST90255675,crc-cancer-1,GCST90275154,mdd-sex-M1,0.0844,0.0382,2.2088,0.0272,0.119,0.0093,1.027,0.0076,-0.0034,0.006,0.6191714179717219,0.07563475862068965
GCST90042684,lung-cancer-family-mother,GCST90043874,skin-carcinoma-face,0.081,0.1568,0.5168,0.6053,0.0083,0.0014,1.0232,0.0079,0.0071,0.0053,1.0,0.7495606879606879
GCST90275151,autism-sex-M1,GCST90041830,non-epithelial-carcinoma,0.0101,0.0679,0.1486,0.8819,0.017,0.0027,1.0274,0.0123,-0.0075,0.0062,1.0,0.9298694560669457
GCST004748,lung-carcinoma-1,GCST90275157,schizo-sex-M1,0.3023,0.0711,4.2512,2.1263e-05,0.1287,0.0123,1.0372,0.0081,-0.0003,0.0059,0.0008218199260178077,0.00010038924590163935
GCST90042841,anxiety-medication,GCST90042686,breast-cancer-family-mother,0.0551,0.0997,0.5524,0.5807,0.0063,0.0014,1.0264,0.0094,-4.7334e-05,0.0052,1.0,0.7321395872420263
GCST90042843,anxiety-treatment-1,GCST90043874,skin-carcinoma-face,-0.1093,0.0885,-1.235,0.2168,0.0083,0.0014,1.0233,0.008,-0.0025,0.0052,1.0,0.3923806797853309
GCST90043889,breast-neoplasm-1,GCST90137411,bcc-2,0.0775,0.0755,1.0261,0.3049,0.0701,0.0119,0.9732,0.0228,0.04,0.0057,1.0,0.49292574178027265
GCST003740,adenocarcinoma-barret-oesophagus,GCST006465,endometrial-carcinoma-1,0.1868,0.1291,1.4477,0.1477,0.0344,0.0099,1.0751,0.0092,0.0426,0.0066,1.0,0.30137975708502024
GCST90011816,cervical-cancer-2,GCST90042699,intestinal-cancer-sibling,0.1961,0.2575,0.7616,0.4463,0.0022,0.0011,1.011,0.0064,0.0003,0.0051,1.0,0.6265604456824512
GCST009980,mdd-trauma,GCST90275153,mdd-age-sex-M1,0.5187,0.0873,5.9438,2.7857e-09,0.1081,0.0088,1.0206,0.0072,0.0085,0.0048,1.5375992509428166e-07,1.878251237458194e-08
GCST90042841,anxiety-medication,GCST90275151,autism-sex-M1,0.2751,0.0688,3.9991,6.3595e-05,0.1489,0.0118,1.033,0.0084,0.0063,0.0056,0.0022966074773366875,0.00028054161925601754
GCST004744,adenocarcinoma-lung,GCST90275152,autism-1,0.0722,0.0639,1.13,0.2585,0.1638,0.0122,1.0311,0.0079,-0.0126,0.0056,1.0,0.4377020134228187
GCST90042699,intestinal-cancer-sibling,GCST90042684,lung-cancer-family-mother,0.5288,0.3062,1.7271,0.0842,0.0036,0.0012,1.0165,0.0066,0.0021,0.0048,1.0,0.19267559591373437
GCST90225529,anxiety-others,GCST90275155,mdd-5,0.5401,0.0718,7.5236,5.3279e-14,0.1198,0.0096,1.0281,0.0079,0.0077,0.0053,3.694529262563898e-12,4.513044705882353e-13
GCST90275147,ADHD-age-sex-M1,GCST90043874,skin-carcinoma-face,0.0102,0.0636,0.1602,0.8728,0.0084,0.0014,1.0233,0.008,-0.0023,0.0056,1.0,0.9246267997898056
GCST90275149,ADHD-1,GCST009981,mdd-notrauma,0.3628,0.1117,3.2489,0.0012,0.0303,0.0093,1.0167,0.0067,4.8528e-05,0.0055,0.035942613272352285,0.004390562613430127
GCST90042700,breast-cancer-family-siblings,GCST009979,mdd-1,0.1776,0.108,1.6441,0.1002,0.078,0.0059,1.0182,0.0076,0.0058,0.0049,1.0,0.22271576626240353
GCST90255675,crc-cancer-1,GCST90043894,prostate-cancer-1,-0.0056,0.0604,-0.0922,0.9265,0.0251,0.0036,1.0444,0.0138,0.0262,0.0087,1.0,0.9618755784061697
GCST90225527,anxiety-2,GCST90137412,squamous-carcinoma,0.1017,0.0504,2.02,0.0434,0.0957,0.0099,0.7881,0.0175,0.0263,0.0064,0.92064062577878,0.11246066838046272
GCST004750,lung-cancer-squamous,GCST90013410,bcc-1,0.2025,0.0665,3.0448,0.0023,0.0322,0.0044,1.0579,0.0171,-0.0103,0.0064,0.06612960772365281,0.008078048780487805
GCST90255676,crc-cancer-2,GCST003769,depression-symptoms,0.0156,0.0463,0.336,0.7368,0.0382,0.0035,1.0168,0.0073,0.0139,0.0054,1.0,0.8431065229722063
GCST90042860,crc-benign-neoplasm,GCST90042786,depression-trauma,-0.0652,0.1259,-0.5179,0.6045,0.0205,0.0053,1.0121,0.0071,0.0126,0.0047,1.0,0.7490301167793485
GCST90275149,ADHD-1,GCST90011809,melanoma-1,-0.1619,0.06,-2.6985,0.007,0.0089,0.0023,1.0017,0.0089,0.0009,0.0057,0.18454560621866717,0.022543130990415338
GCST004744,adenocarcinoma-lung,GCST90042685,intestinal-cancer-mother,0.0848,0.1521,0.5575,0.5772,0.0034,0.0011,1.0078,0.0064,0.0003,0.0058,1.0,0.7290947368421052
GCST90225528,anxiety-any,GCST90042695,depression-family-sibling,0.6144,0.0814,7.5524,4.2726e-14,0.0128,0.0015,1.0175,0.008,0.0613,0.005,3.0263302437970766e-12,3.696807553648069e-13
GCST90042778,anxiety-1,GCST90042700,breast-cancer-family-siblings,-0.1333,0.2202,-0.6054,0.5449,0.0043,0.0012,1.008,0.0065,0.0019,0.005,1.0,0.7068972972972974
GCST90042695,depression-family-sibling,GCST006464,endometrial-carcinoma-2,0.0397,0.1109,0.3579,0.7204,0.0182,0.0045,1.0862,0.0097,-0.0012,0.0057,1.0,0.8321484536082474
GCST90042673,intestinal-cancer-father,GCST90011809,melanoma-1,0.0046,0.2338,0.0198,0.9842,0.0088,0.0023,1.0017,0.009,0.0013,0.0049,1.0,0.9900934131736526
GCST90043889,breast-neoplasm-1,GCST009980,mdd-trauma,0.1791,0.1333,1.344,0.1789,0.1018,0.0169,1.0039,0.0067,-0.003,0.005,1.0,0.3431611798287345
GCST90042685,intestinal-cancer-mother,GCST90275157,schizo-sex-M1,0.2905,0.1175,2.4714,0.0135,0.126,0.0131,1.0383,0.0086,-0.0063,0.0052,0.33154653872320494,0.0405
GCST003740,adenocarcinoma-barret-oesophagus,GCST90255675,crc-cancer-1,0.1512,0.0441,3.4307,0.0006,0.0909,0.0087,1.1609,0.0202,0.0687,0.0055,0.01896971256040815,0.0023172413793103447
GCST005903,mdd-2,GCST90137411,bcc-2,0.0284,0.0467,0.6073,0.5436,0.0698,0.0121,0.9751,0.0232,-0.0174,0.0055,1.0,0.7063793814432989
GCST90042844,anxiety-treatment-2,GCST006464,endometrial-carcinoma-2,0.1788,0.1533,1.1661,0.2436,0.0182,0.0045,1.0862,0.0098,-0.011,0.0059,1.0,0.42116606683804625
GCST90011804,breast-carcinoma-1,GCST90042860,crc-benign-neoplasm,0.1867,0.0711,2.6246,0.0087,0.0098,0.0013,1.0493,0.0093,0.0035,0.0056,0.22469758117328523,0.027447887323943657
GCST90255675,crc-cancer-1,GCST004750,lung-cancer-squamous,0.3834,0.0632,6.0647,1.3221e-09,0.0536,0.0147,1.0412,0.0091,0.0195,0.0054,7.576206794868258e-08,9.2547e-09
GCST90042699,intestinal-cancer-sibling,GCST90041853,prostate-cancer-5,-0.0523,0.1685,-0.3106,0.7561,0.018,0.0029,1.03,0.0107,-0.0021,0.0047,1.0,0.8525154362416106
GCST90043889,breast-neoplasm-1,GCST90042699,intestinal-cancer-sibling,0.1859,0.2118,0.8779,0.38,0.0022,0.0011,1.0113,0.0062,-0.0009,0.0045,1.0,0.5717261744966443
GCST90225529,anxiety-others,GCST90042841,anxiety-medication,0.9056,0.0794,11.409,3.7699e-30,0.0389,0.004,1.0082,0.0075,0.0963,0.0054,4.6779781851045055e-28,5.714374736842104e-29
GCST90043889,breast-neoplasm-1,GCST90255676,crc-cancer-2,-0.0136,0.0714,-0.1908,0.8487,0.0848,0.0098,1.1624,0.0211,0.0164,0.006,1.0,0.9139846153846154
GCST90042860,crc-benign-neoplasm,GCST90275156,schizo-age-sex-M1,0.2526,0.0704,3.5903,0.0003,0.1136,0.0123,1.0313,0.008,0.0082,0.0055,0.00986273900053093,0.0012047808764940238
GCST90042695,depression-family-sibling,GCST90275156,schizo-age-sex-M1,0.6246,0.0845,7.3888,1.4816e-13,0.1137,0.0123,1.0312,0.008,0.0091,0.0051,1.0021232677321976e-11,1.2241416393442624e-12
GCST90275148,ADHD-sex-M1,GCST90043889,breast-neoplasm-1,-0.0515,0.0739,-0.6972,0.4857,0.0048,0.0011,1.0123,0.008,0.0042,0.0056,1.0,0.6607093117408906
GCST90275155,mdd-5,GCST90041853,prostate-cancer-5,0.0628,0.0716,0.8773,0.3803,0.0178,0.0029,1.0303,0.0108,-0.0026,0.0054,1.0,0.5717261744966443
GCST004744,adenocarcinoma-lung,GCST90043874,skin-carcinoma-face,0.0428,0.0975,0.4391,0.6606,0.0081,0.0013,1.0246,0.0082,0.0089,0.0057,1.0,0.79272
GCST90042843,anxiety-treatment-1,GCST90042684,lung-cancer-family-mother,-0.0585,0.1318,-0.4435,0.6574,0.0036,0.0012,1.0165,0.0066,0.0012,0.005,1.0,0.7902912343470484
GCST005902,depression-broad,GCST004748,lung-carcinoma-1,0.1704,0.0487,3.5005,0.0005,0.0819,0.0163,1.0521,0.0115,-0.0014,0.0062,0.015991908844530126,0.0019534883720930232
GCST90225527,anxiety-2,GCST90042686,breast-cancer-family-mother,0.0235,0.0985,0.2384,0.8116,0.0064,0.0014,1.0255,0.0092,-0.0027,0.005,1.0,0.896049069003286
GCST90275150,autism-age-sex-M1,GCST90041886,breast-carcinoma-2,-0.1074,0.0664,-1.6176,0.1057,0.0079,0.0015,1.0415,0.0104,0.0085,0.0051,1.0,0.23263231441048032
GCST90275150,autism-age-sex-M1,GCST006465,endometrial-carcinoma-1,-0.0417,0.1009,-0.4128,0.6797,0.0348,0.0098,1.0749,0.0093,0.0115,0.0057,1.0,0.8009831775700934
GCST90275149,ADHD-1,GCST90042778,anxiety-1,0.368,0.1207,3.0494,0.0023,0.0263,0.0085,1.0041,0.0065,0.0051,0.0052,0.06612960772365281,0.008078048780487805
GCST90011804,breast-carcinoma-1,GCST90042696,prostate-cancer-sibling,0.354,0.2206,1.6051,0.1085,0.0016,0.0011,1.001,0.0064,-0.0011,0.0048,1.0,0.2374983713355049
GCST90042700,breast-cancer-family-siblings,GCST004749,lung-carcinoma-smokers,0.1507,0.1378,1.0942,0.2739,0.1094,0.0265,1.0449,0.0098,0.0091,0.0048,1.0,0.45559603960396033
GCST90275147,ADHD-age-sex-M1,GCST90043889,breast-neoplasm-1,-0.06,0.0744,-0.8065,0.42,0.0048,0.0011,1.0123,0.008,0.0048,0.0055,1.0,0.6087131560028756
GCST90275148,ADHD-sex-M1,GCST90275153,mdd-age-sex-M1,0.5545,0.0381,14.5444,6.3373e-48,0.1075,0.0087,1.0212,0.0073,0.4036,0.006,1.2161462870452893e-45,1.485581023255814e-46
GCST90275151,autism-sex-M1,GCST90275156,schizo-age-sex-M1,0.6225,0.0449,13.8595,1.1141e-43,0.1163,0.0118,1.0284,0.0077,0.3294,0.0058,1.857244079221124e-41,2.2687127272727273e-42
GCST90275150,autism-age-sex-M1,GCST90275151,autism-sex-M1,0.9984,0.0014,723.6894,0.0,0.15,0.0116,1.0317,0.008,1.0093,0.008,0.0,0.0
GCST90042700,breast-cancer-family-siblings,GCST006465,endometrial-carcinoma-1,0.2605,0.2668,0.9764,0.3289,0.0345,0.0098,1.0751,0.0091,0.0013,0.006,1.0,0.5176131147540984
GCST90042699,intestinal-cancer-sibling,GCST90275158,schizophrenia-M1,0.5386,0.1941,2.7749,0.0055,0.1264,0.0132,1.0383,0.0087,-0.0035,0.0046,0.14783399772239902,0.018058631921824105
GCST90275153,mdd-age-sex-M1,GCST90042669,depression-family-father,0.4832,0.0882,5.4815,4.2164e-08,0.007,0.0014,1.0108,0.0072,0.0014,0.005,2.128011912982975e-06,2.599468623853211e-07
GCST90275150,autism-age-sex-M1,GCST90042686,breast-cancer-family-mother,-0.149,0.083,-1.7964,0.0724,0.0062,0.0014,1.0267,0.0093,0.0101,0.0054,1.0,0.17011468531468532
GCST90042698,lung-cancer-family-sibling,GCST004749,lung-carcinoma-smokers,0.7452,0.1626,4.5827,4.5911e-06,0.1094,0.0265,1.0449,0.0098,0.0065,0.0055,0.0001903766512120557,2.3255421105527635e-05
GCST90043889,breast-neoplasm-1,GCST90275157,schizo-sex-M1,0.0458,0.0958,0.4777,0.6329,0.126,0.0132,1.0383,0.0087,-0.0036,0.0052,1.0,0.7690936708860759
GCST90275150,autism-age-sex-M1,GCST90042669,depression-family-father,0.3651,0.0782,4.6676,3.0476e-06,0.007,0.0014,1.0109,0.0072,0.0028,0.0057,0.00012863561002357264,1.5713456777493607e-05
GCST005902,depression-broad,GCST90042698,lung-cancer-family-sibling,0.3396,0.0905,3.7519,0.0002,0.0043,0.0014,1.0092,0.0068,0.0067,0.0053,0.006722464328943011,0.0008211812627291243
GCST90042672,lung-cancer-family-father,GCST90275157,schizo-sex-M1,0.2376,0.079,3.0073,0.0026,0.126,0.0131,1.0383,0.0086,0.0122,0.0055,0.0737276457244729,0.009006185567010308
GCST009981,mdd-notrauma,GCST005902,depression-broad,0.9236,0.1348,6.8514,7.3151e-12,0.0572,0.0028,1.0395,0.01,0.1447,0.0057,4.471327762409565e-10,5.461941333333334e-11
GCST90255676,crc-cancer-2,GCST90042699,intestinal-cancer-sibling,0.8687,0.2211,3.9296,8.5075e-05,0.0023,0.0011,1.0107,0.006,0.028,0.0065,0.003025965555143856,0.0003696362068965517
GCST90275151,autism-sex-M1,GCST90275153,mdd-age-sex-M1,0.643,0.0453,14.1954,9.780499999999999e-46,0.1076,0.0087,1.0211,0.0073,0.3784,0.0061,1.717169660813325e-43,2.0976051063829786e-44
GCST90042786,depression-trauma,GCST90043894,prostate-cancer-1,-0.2312,0.1312,-1.7629,0.0779,0.0254,0.0035,1.0431,0.014,0.0048,0.005,1.0,0.1798927835051546
GCST90043889,breast-neoplasm-1,GCST90011808,prostate-cancer-3,0.1345,0.1008,1.3353,0.1818,0.0332,0.0046,1.0536,0.0197,-0.0029,0.0059,1.0,0.3474017061611374
GCST90275147,ADHD-age-sex-M1,GCST90275154,mdd-sex-M1,0.5804,0.0344,16.8624,8.503e-64,0.1185,0.0091,1.0273,0.0075,0.4299,0.0062,2.227468814825412e-61,2.72096e-62
GCST90275151,autism-sex-M1,GCST004750,lung-cancer-squamous,0.0941,0.0789,1.1924,0.2331,0.0549,0.0146,1.0401,0.0092,-0.0016,0.005,1.0,0.410418864628821
GCST90042786,depression-trauma,GCST90041853,prostate-cancer-5,-0.256,0.149,-1.7177,0.0859,0.0179,0.0029,1.0302,0.0107,0.0059,0.0045,1.0,0.19589864253393666
GCST90275149,ADHD-1,GCST90042860,crc-benign-neoplasm,0.3522,0.0495,7.119,1.0868e-12,0.0099,0.0014,1.0491,0.0092,0.0053,0.0053,7.089393968880187e-11,8.660034782608695e-12
GCST005902,depression-broad,GCST006464,endometrial-carcinoma-2,0.1024,0.0734,1.3947,0.1631,0.0184,0.0045,1.0855,0.0098,-0.0112,0.0071,1.0,0.321496875
GCST90041833,breast-neoplasm-2,GCST009981,mdd-notrauma,-0.1554,0.1297,-1.198,0.2309,0.0298,0.0093,1.0168,0.0066,0.01,0.0044,1.0,0.40832842105263156
GCST90041886,breast-carcinoma-2,GCST90255676,crc-cancer-2,0.0579,0.061,0.9499,0.3422,0.0848,0.0098,1.1624,0.0211,0.0113,0.0061,1.0,0.5319006939090208
GCST90275152,autism-1,GCST006465,endometrial-carcinoma-1,-0.0623,0.0955,-0.6525,0.514,0.0348,0.0098,1.0749,0.0093,0.0114,0.0058,1.0,0.6830744891232696
GCST90225527,anxiety-2,GCST90042844,anxiety-treatment-2,0.3564,0.095,3.7514,0.0002,0.027,0.004,0.9989,0.0061,0.04,0.0048,0.006722464328943011,0.0008211812627291243
GCST90275148,ADHD-sex-M1,GCST90043874,skin-carcinoma-face,0.0176,0.0633,0.2776,0.7813,0.0084,0.0014,1.0233,0.008,-0.0037,0.0056,1.0,0.8720008854454896
GCST90275149,ADHD-1,GCST004749,lung-carcinoma-smokers,0.3245,0.0686,4.7327,2.2151e-06,0.1066,0.0266,1.047,0.0096,-0.0041,0.0055,9.49538570247462e-05,1.1599069090909092e-05
GCST90042682,depression-family-mother,GCST90041853,prostate-cancer-5,-0.08,0.1042,-0.7678,0.4426,0.018,0.0029,1.03,0.0107,0.0084,0.0053,1.0,0.6244097970608817
GCST90042672,lung-cancer-family-father,GCST004748,lung-carcinoma-1,1.0061,0.0756,13.3123,1.9638e-40,0.0841,0.0167,1.0497,0.0119,0.0021,0.0076,3.0866540693078745e-38,3.770496e-39
GCST006465,endometrial-carcinoma-1,GCST90275158,schizophrenia-M1,0.1909,0.1117,1.7093,0.0874,0.1264,0.013,1.0374,0.0097,-0.0003,0.0057,1.0,0.1981984251968504
GCST90042844,anxiety-treatment-2,GCST004750,lung-cancer-squamous,-0.2421,0.1396,-1.7342,0.0829,0.0557,0.0151,1.0385,0.0096,-0.0016,0.0058,1.0,0.18991636363636366
GCST90011816,cervical-cancer-2,GCST006464,endometrial-carcinoma-2,0.1832,0.1652,1.1087,0.2676,0.0183,0.0047,1.0854,0.0096,0.0117,0.006,1.0,0.4484468827930175
GCST90043889,breast-neoplasm-1,GCST005903,mdd-2,-0.0455,0.1269,-0.3584,0.7201,0.0175,0.002,1.0004,0.007,-0.0051,0.0052,1.0,0.8321484536082474
GCST004750,lung-cancer-squamous,GCST90275156,schizo-age-sex-M1,0.3169,0.116,2.7305,0.0063,0.1102,0.0124,1.0332,0.0082,-0.0042,0.0052,0.1676983782961243,0.02048516129032258
GCST90042843,anxiety-treatment-1,GCST90042686,breast-cancer-family-mother,-0.0096,0.1052,-0.0913,0.9272,0.0063,0.0014,1.0264,0.0094,0.004,0.0054,1.0,0.9618755784061697
GCST006464,endometrial-carcinoma-2,GCST90137412,squamous-carcinoma,0.1751,0.084,2.0843,0.0371,0.0932,0.0128,0.8021,0.0232,0.0151,0.0066,0.8109740560427734,0.09906437086092716
GCST90011804,breast-carcinoma-1,GCST90275153,mdd-age-sex-M1,-0.0447,0.0573,-0.7795,0.4357,0.1085,0.0087,1.0201,0.0072,0.0021,0.0053,1.0,0.6203186440677966
GCST005902,depression-broad,GCST003769,depression-symptoms,0.8397,0.0347,24.1927,2.6523e-129,0.0385,0.0033,1.0155,0.0073,0.1327,0.0062,1.4590876900951456e-126,1.7823456e-127
GCST90042700,breast-cancer-family-siblings,GCST90042669,depression-family-father,-0.1997,0.1783,-1.1197,0.2629,0.0069,0.0014,1.0111,0.0069,0.0057,0.0054,1.0,0.4424093489148581
GCST90042778,anxiety-1,GCST90011804,breast-carcinoma-1,-0.2725,0.1243,-2.1916,0.0284,0.027,0.0039,1.0615,0.0138,0.0135,0.0049,0.6429405458745742,0.07853827160493827
GCST90042841,anxiety-medication,GCST90011816,cervical-cancer-2,-0.0775,0.1168,-0.6638,0.5068,0.0088,0.0025,1.017,0.008,0.0033,0.0054,1.0,0.6775257294429708
GCST90041833,breast-neoplasm-2,GCST90042673,intestinal-cancer-father,0.2445,0.1901,1.2864,0.1983,0.0018,0.001,1.024,0.0064,-0.0034,0.0043,1.0,0.3691058823529412
GCST009979,mdd-1,GCST90043874,skin-carcinoma-face,-0.0518,0.0703,-0.7365,0.4614,0.0083,0.0014,1.0234,0.008,-0.004,0.0056,1.0,0.6412905712319339
GCST003740,adenocarcinoma-barret-oesophagus,GCST90042784,depression-postpartum,0.1415,0.3048,0.4641,0.6426,0.0091,0.0076,0.9977,0.0065,-0.0025,0.0055,1.0,0.7772544691061788
GCST004744,adenocarcinoma-lung,GCST90042673,intestinal-cancer-father,-0.0408,0.1804,-0.2262,0.8211,0.0021,0.0011,1.0222,0.0069,0.0137,0.0049,1.0,0.9011091997822538
GCST90042686,breast-cancer-family-mother,GCST90042682,depression-family-mother,0.0687,0.1115,0.6161,0.5378,0.0089,0.0013,1.0201,0.0077,-0.0219,0.0052,1.0,0.7017506796116504
GCST90255675,crc-cancer-1,GCST009981,mdd-notrauma,0.0315,0.0782,0.403,0.6869,0.0318,0.0092,1.0154,0.0065,0.0053,0.0054,1.0,0.8053463414634146
GCST90041886,breast-carcinoma-2,GCST005903,mdd-2,0.0515,0.0947,0.5444,0.5862,0.0175,0.002,1.0004,0.007,-0.0057,0.0049,1.0,0.7364366355140187
GCST90275152,autism-1,GCST90041853,prostate-cancer-5,-0.0951,0.0738,-1.2888,0.1975,0.0178,0.0029,1.0305,0.0108,0.0077,0.0057,1.0,0.3686666666666667
GCST90041833,breast-neoplasm-2,GCST90042784,depression-postpartum,-0.1536,0.2502,-0.6139,0.5393,0.0088,0.0076,0.9981,0.0065,0.0005,0.0043,1.0,0.7018907682375726
GCST90042841,anxiety-medication,GCST90042673,intestinal-cancer-father,0.2278,0.1725,1.3211,0.1865,0.0018,0.001,1.0241,0.0064,0.0006,0.005,1.0,0.35336842105263155
GCST003740,adenocarcinoma-barret-oesophagus,GCST90042669,depression-family-father,-0.0161,0.1,-0.1614,0.8718,0.0069,0.0014,1.0116,0.007,-0.0011,0.0056,1.0,0.9246267997898056
GCST90275155,mdd-5,GCST90011808,prostate-cancer-3,0.0103,0.0557,0.1846,0.8535,0.0332,0.0046,1.0536,0.0197,-0.0073,0.0052,1.0,0.9162172523961661
GCST90275151,autism-sex-M1,GCST004749,lung-carcinoma-smokers,0.0653,0.0627,1.0407,0.298,0.1064,0.0265,1.0471,0.0096,-0.0075,0.0047,1.0,0.48566531932093776
GCST90011804,breast-carcinoma-1,GCST90041886,breast-carcinoma-2,0.9196,0.0308,29.8137,2.5995e-195,0.0078,0.0014,1.0421,0.0112,0.7158,0.0118,1.7160495194671782e-192,2.0962368e-193
GCST90255675,crc-cancer-1,GCST90042669,depression-family-father,-0.0832,0.0616,-1.3515,0.1765,0.0069,0.0013,1.0111,0.0067,0.0021,0.0055,1.0,0.3395267175572519
GCST90041853,prostate-cancer-5,GCST90043874,skin-carcinoma-face,0.0871,0.1065,0.818,0.4134,0.0083,0.0014,1.0233,0.0079,0.0046,0.0056,1.0,0.6048
GCST90041833,breast-neoplasm-2,GCST90013410,bcc-1,0.0824,0.0668,1.2343,0.2171,0.0316,0.0044,1.0621,0.0173,0.0485,0.0058,1.0,0.3923806797853309
GCST90042686,breast-cancer-family-mother,GCST90041853,prostate-cancer-5,0.1248,0.1173,1.064,0.2873,0.018,0.0029,1.03,0.0107,0.0111,0.005,1.0,0.4716586319218241
GCST90042778,anxiety-1,GCST90042698,lung-cancer-family-sibling,0.2449,0.2455,0.9975,0.3185,0.0043,0.0014,1.0091,0.0067,-0.0011,0.0046,1.0,0.5075857707509881
GCST90042700,breast-cancer-family-siblings,GCST003769,depression-symptoms,0.299,0.1348,2.218,0.0266,0.0387,0.0034,1.0147,0.0075,0.0052,0.005,0.6105661864714401,0.0745835883171071
GCST90225529,anxiety-others,GCST005902,depression-broad,0.8046,0.0514,15.6424,3.7423000000000005e-55,0.0577,0.0029,1.0361,0.0101,0.1538,0.0065,8.82308701769849e-53,1.0777824000000003e-53
GCST90225529,anxiety-others,GCST90042696,prostate-cancer-sibling,0.1344,0.2166,0.6203,0.535,0.0016,0.0011,1.0013,0.0062,0.0015,0.0051,1.0,0.7008187134502925
GCST009979,mdd-1,GCST004749,lung-carcinoma-smokers,0.1175,0.0781,1.5044,0.1325,0.1045,0.0268,1.0485,0.0096,0.0049,0.0061,1.0,0.2781410788381743
GCST009981,mdd-notrauma,GCST90275153,mdd-age-sex-M1,0.7214,0.1516,4.7571,1.9644e-06,0.1079,0.0088,1.0209,0.0072,0.006,0.0052,8.464691884514156e-05,1.0340027154046997e-05
GCST90255676,crc-cancer-2,GCST90042684,lung-cancer-family-mother,0.1928,0.0979,1.969,0.049,0.0035,0.0011,1.0163,0.0063,0.0119,0.006,1.0,0.12441309823677582
GCST90042778,anxiety-1,GCST90042682,depression-family-mother,0.7227,0.1984,3.6433,0.0003,0.0089,0.0013,1.0201,0.0077,0.0297,0.0046,0.00986273900053093,0.0012047808764940238
GCST90042696,prostate-cancer-sibling,GCST90011808,prostate-cancer-3,1.0217,0.4111,2.4853,0.0129,0.0332,0.0046,1.0536,0.0197,0.057,0.007,0.3172832847473333,0.03875767511177347
GCST90275148,ADHD-sex-M1,GCST90042699,intestinal-cancer-sibling,0.5251,0.1594,3.2933,0.001,0.0022,0.0011,1.011,0.0062,0.0044,0.0058,0.030281926472578147,0.0036990825688073396
GCST004750,lung-cancer-squamous,GCST90042696,prostate-cancer-sibling,0.2422,0.3039,0.7969,0.4255,0.0011,0.0011,1.0042,0.006,-0.0011,0.005,1.0,0.6113957325746799
GCST90275153,mdd-age-sex-M1,GCST90011808,prostate-cancer-3,0.0103,0.0558,0.1846,0.8535,0.0332,0.0046,1.0536,0.0197,-0.0062,0.0052,1.0,0.9162172523961661
GCST90275147,ADHD-age-sex-M1,GCST90275149,ADHD-1,1.0012,0.0008,1227.6114,0.0,0.2445,0.0144,1.0754,0.0086,1.0495,0.0085,0.0,0.0
GCST009981,mdd-notrauma,GCST90042670,prostate-cancer-father,0.0672,0.1804,0.3724,0.7096,0.0065,0.0013,1.0202,0.0081,-0.005,0.0051,1.0,0.821685008615738
GCST90042682,depression-family-mother,GCST90013410,bcc-1,-0.015,0.0632,-0.2366,0.8129,0.0316,0.0044,1.0622,0.0173,-0.0022,0.005,1.0,0.8965024070021881
GCST009979,mdd-1,GCST90275154,mdd-sex-M1,0.6712,0.0518,12.9662,1.9019999999999999e-38,0.1191,0.0091,1.0268,0.0075,0.0159,0.0054,2.9336394544121287e-36,3.5835813084112145e-37
GCST90225529,anxiety-others,GCST90042685,intestinal-cancer-mother,0.1277,0.1276,1.0003,0.3172,0.0035,0.0011,1.0079,0.0065,0.0034,0.0052,1.0,0.5063144893111639
GCST90043889,breast-neoplasm-1,GCST90255675,crc-cancer-1,0.0166,0.0693,0.2393,0.8109,0.0862,0.0092,1.1792,0.023,0.0154,0.006,1.0,0.895766794520548
GCST009980,mdd-trauma,GCST90042786,depression-trauma,0.0697,0.1734,0.4023,0.6874,0.0203,0.0053,1.0123,0.0072,-0.0161,0.0047,1.0,0.8053463414634146
GCST004744,adenocarcinoma-lung,GCST90275149,ADHD-1,0.2519,0.0586,4.2983,1.7214e-05,0.2448,0.0147,1.0742,0.0089,0.0035,0.0055,0.0006748071968003167,8.243093586698338e-05
GCST90275147,ADHD-age-sex-M1,GCST009980,mdd-trauma,0.3807,0.0733,5.1923,2.0773e-07,0.1079,0.0169,1.0007,0.0067,0.0119,0.0055,9.851445975433962e-06,1.2034013793103448e-06
GCST90042841,anxiety-medication,GCST90275156,schizo-age-sex-M1,0.3989,0.0727,5.4849,4.1374e-08,0.1137,0.0122,1.0311,0.008,0.0072,0.0052,2.0945460493946755e-06,2.5585884662576683e-07
