id_1,label_1,id_2,label_2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se,adjusted_p_by,adjusted_p_bh
GCST90042844,anxiety-treatment-2,GCST90042685,intestinal-cancer-mother,-0.0833,0.147,-0.5666,0.571,0.0034,0.001,1.0087,0.0064,0.0052,0.0047,1.0,0.7254805293005672
GCST90275149,ADHD-1,GCST006464,endometrial-carcinoma-2,0.0903,0.0836,1.0795,0.2804,0.0186,0.0046,1.0851,0.0101,0.011,0.007,1.0,0.46427586206896554
GCST90275149,ADHD-1,GCST90011808,prostate-cancer-3,-0.0322,0.0507,-0.636,0.5248,0.0332,0.0046,1.0536,0.0196,-0.0032,0.0059,1.0,0.6925382198952881
GCST90255675,crc-cancer-1,GCST90042684,lung-cancer-family-mother,0.1842,0.093,1.9807,0.0476,0.0035,0.0011,1.0163,0.0063,0.0131,0.0061,0.9943971348754713,0.12147037974683544
GCST003769,depression-symptoms,GCST90042669,depression-family-father,0.6147,0.0872,7.0457,1.8458e-12,0.0067,0.0014,1.0138,0.0071,0.0335,0.0052,1.1807146138093484e-10,1.442299534883721e-11
GCST90275153,mdd-age-sex-M1,GCST90041853,prostate-cancer-5,0.0666,0.0719,0.9257,0.3546,0.0178,0.0029,1.0303,0.0108,-0.0016,0.0052,1.0,0.5472661055853099
GCST90275150,autism-age-sex-M1,GCST90042685,intestinal-cancer-mother,0.2452,0.1237,1.9816,0.0475,0.0034,0.001,1.0083,0.0064,-0.008,0.0058,0.993565743420617,0.12136882129277567
GCST90042682,depression-family-mother,GCST90043894,prostate-cancer-1,-0.0602,0.0907,-0.6641,0.5066,0.0254,0.0035,1.0431,0.014,0.0105,0.0053,1.0,0.6775257294429708
GCST004744,adenocarcinoma-lung,GCST90042698,lung-cancer-family-sibling,0.5256,0.1454,3.615,0.0003,0.0047,0.0014,1.0059,0.0068,0.0069,0.0051,0.00986273900053093,0.0012047808764940238
GCST90011809,melanoma-1,GCST90043874,skin-carcinoma-face,0.3786,0.1119,3.3834,0.0007,0.0083,0.0014,1.023,0.0085,0.0364,0.0055,0.021797273489223706,0.0026626415094339623
GCST005902,depression-broad,GCST90042670,prostate-cancer-father,0.0103,0.0572,0.18,0.8572,0.0065,0.0013,1.0202,0.0081,0.0054,0.0056,1.0,0.9196994145822246
GCST90255676,crc-cancer-2,GCST90043894,prostate-cancer-1,0.0016,0.0615,0.0261,0.9792,0.0251,0.0036,1.0443,0.0138,0.0176,0.0082,1.0,0.9865403298350823
GCST90225529,anxiety-others,GCST90275151,autism-sex-M1,0.2774,0.0694,3.9956,6.4523e-05,0.1503,0.0118,1.0313,0.0086,0.0024,0.0056,0.002325032760427155,0.000284013903930131
GCST90042686,breast-cancer-family-mother,GCST90042698,lung-cancer-family-sibling,0.1289,0.1619,0.796,0.426,0.0043,0.0014,1.0092,0.0067,-0.0031,0.005,1.0,0.6113957325746799
GCST90275154,mdd-sex-M1,GCST90042670,prostate-cancer-father,-0.0021,0.0834,-0.0254,0.9797,0.0065,0.0013,1.0205,0.0083,-0.0016,0.0048,1.0,0.9865510489510491
GCST90011816,cervical-cancer-2,GCST005903,mdd-2,0.1908,0.1188,1.6057,0.1083,0.0177,0.002,0.9994,0.0068,0.0107,0.0048,1.0,0.23731826086956517
GCST90275153,mdd-age-sex-M1,GCST90137412,squamous-carcinoma,0.2911,0.0359,8.1126,4.9549e-16,0.0959,0.0109,0.7881,0.0191,-0.0005,0.0055,3.893996906002034e-14,4.7567039999999994e-15
GCST90042673,intestinal-cancer-father,GCST90042670,prostate-cancer-father,0.7242,0.2821,2.5673,0.0102,0.0065,0.0013,1.0203,0.0081,0.0034,0.0051,0.2581859344494815,0.03153865030674847
GCST90041833,breast-neoplasm-2,GCST90275153,mdd-age-sex-M1,0.0051,0.0681,0.0752,0.94,0.1074,0.0093,1.0215,0.0074,-0.0056,0.0048,1.0,0.9703225806451612
GCST003740,adenocarcinoma-barret-oesophagus,GCST90011808,prostate-cancer-3,0.1545,0.0754,2.0481,0.0405,0.0334,0.0046,1.0529,0.0195,-0.0043,0.0055,0.8680491195662093,0.10603636363636364
