File	initial_RP	regr_weight	merg_RP	merge_regr	sumstats	merge_sumstats	valid_alleles_SNP
ADHD_GCST90275149_ADHD_ADHD2022_iPSYCH_deCODE_PGC.log	1190321	1190321	1167668	1167668	1217311	1167668	1103364
ADHD_ADHD2022_iPSYCH_deCODE_PGC_ASD_GCST010514.log	1190321	1190321	1103624	1103624	1217311	1103624	1089516
BIP_daner_bip_pgc3_nm_noukbiobank_BreastCancer_GCST90041886.log	1190321	1190321	1106924	1106924	1217311	1106924	1096964
ADHD_GCST90275137_BreastCancer_GCST90041886.log	1190321	1190321	1167668	1167668	1217311	1167668	1147190
BIP_daner_bip_pgc3_nm_noukbiobank_DEP_GCST90275143.log	1190321	1190321	1106924	1106924	1217311	1106924	1105608
ASD_GCST90275140_SCZ_scz2018clozuk.log	1190321	1190321	1167670	1167670	1217311	1167670	1143290
SCZ_scz2018clozuk_DEP_GCST90275143.log	1190321	1190321	1147331	1147331	1217311	1147331	1143286
ASD_GCST90275140_ANX_GCST90225529.log	1190321	1190321	1167670	1167670	1217311	1167670	1120286
SCZ_scz2018clozuk_LungCancer_GCST004748.log	1190321	1190321	1147331	1147331	1217311	1147331	1083620
ASD_GCST010514_SCZ_GCST90275146.log	1190321	1190321	1139907	1139907	1217311	1139907	1138685
ADHD_ADHD2022_iPSYCH_deCODE_PGC_ASD_iPSYCH-PGC_ASD_Nov2017.log	1190321	1190321	1103624	1103624	1217311	1103624	1034655
ANX_GCST90225528_SCZ_GCST90275158.log	1190321	1190321	1124418	1124418	1217311	1124418	1120278
ADHD_GCST90275137_SCZ_GCST90275158.log	1190321	1190321	1167668	1167668	1217311	1167668	1167466
BIP_bip2019_daner_ANX_GCST90225527.log	1190321	1190321	1091498	1091498	1217311	1091498	1058102
ANX_GCST90225528_DEP_GCST90275155.log	1190321	1190321	1124418	1124418	1217311	1124418	1120278
ADHD_GCST90275137_SCZ_GCST90275146.log	1190321	1190321	1167668	1167668	1217311	1167668	1167466
ASD_iPSYCH-PGC_ASD_Nov2017_SCZ_GCST90275146.log	1190321	1190321	1044888	1044888	1217311	1044888	1044126
ADHD_GCST90275149_ANX_GCST90225528.log	1190321	1190321	1167668	1167668	1217311	1167668	1120292
ADHD_GCST90275149_BIP_bip2019_daner.log	1190321	1190321	1167668	1167668	1217311	1167668	1083240
BIP_daner_bip_pgc3_nm_noukbiobank_ANX_GCST90225529.log	1190321	1190321	1106924	1106924	1217311	1106924	1076614
ASD_GCST90275152_ASD_iPSYCH-PGC_ASD_Nov2017.log	1190321	1190321	1167670	1167670	1217311	1167670	1044141
ASD_GCST010514_BIP_bip2019_daner.log	1190321	1190321	1139907	1139907	1217311	1139907	1068529
ASD_GCST90275152_ASD_GCST010514.log	1190321	1190321	1167670	1167670	1217311	1167670	1138709
DEP_GCST90275155_BreastCancer_GCST90041886.log	1190321	1190321	1167676	1167676	1217311	1167676	1147182
ADHD_GCST90275149_LungCancer_GCST004748.log	1190321	1190321	1167668	1167668	1217311	1167668	1101903
SCZ_GCST90275158_DEP_GCST90275143.log	1190321	1190321	1167672	1167672	1217311	1167672	1167471
ANX_GCST90225528_SCZ_GCST90275146.log	1190321	1190321	1124418	1124418	1217311	1124418	1120278
ASD_iPSYCH-PGC_ASD_Nov2017_ANX_GCST90225529.log	1190321	1190321	1044888	1044888	1217311	1044888	1021531
ANX_GCST90225528_DEP_GCST90275143.log	1190321	1190321	1124418	1124418	1217311	1124418	1120278
ASD_GCST90275140_BreastCancer_GCST90041886.log	1190321	1190321	1167670	1167670	1217311	1167670	1147187
ASD_iPSYCH-PGC_ASD_Nov2017_BIP_bip2019_daner.log	1190321	1190321	1044888	1044888	1217311	1044888	1019808
ASD_iPSYCH-PGC_ASD_Nov2017_SCZ_scz2018clozuk.log	1190321	1190321	1044888	1044888	1217311	1044888	1027765
ADHD_ADHD2022_iPSYCH_deCODE_PGC_ASD_GCST90275152.log	1190321	1190321	1103624	1103624	1217311	1103624	1103357
ADHD_ADHD2022_iPSYCH_deCODE_PGC_DEP_GCST90275155.log	1190321	1190321	1103624	1103624	1217311	1103624	1103339
ASD_GCST90275152_ANX_GCST90225529.log	1190321	1190321	1167670	1167670	1217311	1167670	1120286
DEP_GCST90275155_LungCancer_GCST004748.log	1190321	1190321	1167676	1167676	1217311	1167676	1101903
ASD_GCST90275140_DEP_GCST90275143.log	1190321	1190321	1167670	1167670	1217311	1167670	1167437
BIP_daner_bip_pgc3_nm_noukbiobank_LungCancer_GCST004748.log	1190321	1190321	1106924	1106924	1217311	1106924	1046389
ADHD_GCST90275137_ANX_GCST90225529.log	1190321	1190321	1167668	1167668	1217311	1167668	1120292
ADHD_GCST90275149_ASD_GCST010514.log	1190321	1190321	1167668	1167668	1217311	1167668	1138684
ANX_GCST90225527_LungCancer_GCST004748.log	1190321	1190321	1124418	1124418	1217311	1124418	1061162
BIP_bip2019_daner_SCZ_scz2018clozuk.log	1190321	1190321	1091498	1091498	1217311	1091498	1068691
ADHD_ADHD2022_iPSYCH_deCODE_PGC_DEP_GCST90275143.log	1190321	1190321	1103624	1103624	1217311	1103624	1103339
ADHD_GCST90275137_ADHD_GCST90275149.log	1190321	1190321	1167668	1167668	1217311	1167668	1167668
ASD_GCST010514_ASD_iPSYCH-PGC_ASD_Nov2017.log	1190321	1190321	1139907	1139907	1217311	1139907	1032048
BIP_daner_bip_pgc3_nm_noukbiobank_ANX_GCST90225527.log	1190321	1190321	1106924	1106924	1217311	1106924	1076614
ADHD_ADHD2022_iPSYCH_deCODE_PGC_BIP_bip2019_daner.log	1190321	1190321	1103624	1103624	1217311	1103624	1056427
SCZ_scz2018clozuk_BreastCancer_GCST90041886.log	1190321	1190321	1147331	1147331	1217311	1147331	1129234
SCZ_GCST90275146_SCZ_GCST90275158.log	1190321	1190321	1167672	1167672	1217311	1167672	1167672
ASD_GCST90275152_DEP_GCST90275155.log	1190321	1190321	1167670	1167670	1217311	1167670	1167437
ANX_GCST90225528_SCZ_scz2018clozuk.log	1190321	1190321	1124418	1124418	1217311	1124418	1103309
ASD_iPSYCH-PGC_ASD_Nov2017_DEP_GCST90275155.log	1190321	1190321	1044888	1044888	1217311	1044888	1044124
ANX_GCST90225527_SCZ_GCST90275158.log	1190321	1190321	1124418	1124418	1217311	1124418	1120278
ASD_iPSYCH-PGC_ASD_Nov2017_BIP_daner_bip_pgc3_nm_noukbiobank.log	1190321	1190321	1044888	1044888	1217311	1044888	1037139
ASD_GCST90275152_LungCancer_GCST004748.log	1190321	1190321	1167670	1167670	1217311	1167670	1101918
BIP_daner_bip_pgc3_nm_noukbiobank_ANX_GCST90225528.log	1190321	1190321	1106924	1106924	1217311	1106924	1076614
ANX_GCST90225529_SCZ_GCST90275158.log	1190321	1190321	1124418	1124418	1217311	1124418	1120278
ADHD_GCST90275149_SCZ_GCST90275158.log	1190321	1190321	1167668	1167668	1217311	1167668	1167466
ASD_GCST90275152_SCZ_scz2018clozuk.log	1190321	1190321	1167670	1167670	1217311	1167670	1143290
ANX_GCST90225528_LungCancer_GCST004748.log	1190321	1190321	1124418	1124418	1217311	1124418	1061162
DEP_GCST90275143_LungCancer_GCST004748.log	1190321	1190321	1167676	1167676	1217311	1167676	1101903
ANX_GCST90225528_BreastCancer_GCST90041886.log	1190321	1190321	1124418	1124418	1217311	1124418	1123888
BIP_bip2019_daner_DEP_GCST90275155.log	1190321	1190321	1091498	1091498	1217311	1091498	1083248
SCZ_GCST90275158_BreastCancer_GCST90041886.log	1190321	1190321	1167672	1167672	1217311	1167672	1147183
ANX_GCST90225529_SCZ_GCST90275146.log	1190321	1190321	1124418	1124418	1217311	1124418	1120278
ASD_GCST010514_BreastCancer_GCST90041886.log	1190321	1190321	1139907	1139907	1217311	1139907	1123666
ADHD_ADHD2022_iPSYCH_deCODE_PGC_LungCancer_GCST004748.log	1190321	1190321	1103624	1103624	1217311	1103624	1042557
ASD_iPSYCH-PGC_ASD_Nov2017_SCZ_GCST90275158.log	1190321	1190321	1044888	1044888	1217311	1044888	1044126
ADHD_ADHD2022_iPSYCH_deCODE_PGC_SCZ_GCST90275146.log	1190321	1190321	1103624	1103624	1217311	1103624	1103363
ASD_GCST90275140_SCZ_GCST90275146.log	1190321	1190321	1167670	1167670	1217311	1167670	1167461
ASD_iPSYCH-PGC_ASD_Nov2017_DEP_GCST90275143.log	1190321	1190321	1044888	1044888	1217311	1044888	1044124
LungCancer_GCST004748_BreastCancer_GCST90041886.log	1190321	1190321	1108815	1108815	1217311	1108815	1086631
ASD_GCST90275152_DEP_GCST90275143.log	1190321	1190321	1167670	1167670	1217311	1167670	1167437
ASD_GCST90275140_BIP_bip2019_daner.log	1190321	1190321	1167670	1167670	1217311	1167670	1083247
ASD_iPSYCH-PGC_ASD_Nov2017_LungCancer_GCST004748.log	1190321	1190321	1044888	1044888	1217311	1044888	986950
ADHD_GCST90275149_ASD_GCST90275152.log	1190321	1190321	1167668	1167668	1217311	1167668	1167439
BIP_bip2019_daner_SCZ_GCST90275158.log	1190321	1190321	1091498	1091498	1217311	1091498	1083245
SCZ_GCST90275158_DEP_GCST90275155.log	1190321	1190321	1167672	1167672	1217311	1167672	1167471
ADHD_GCST90275137_DEP_GCST90275155.log	1190321	1190321	1167668	1167668	1217311	1167668	1167459
ADHD_GCST90275149_DEP_GCST90275155.log	1190321	1190321	1167668	1167668	1217311	1167668	1167459
BIP_daner_bip_pgc3_nm_noukbiobank_SCZ_GCST90275146.log	1190321	1190321	1106924	1106924	1217311	1106924	1105602
SCZ_GCST90275146_DEP_GCST90275155.log	1190321	1190321	1167672	1167672	1217311	1167672	1167471
ADHD_ADHD2022_iPSYCH_deCODE_PGC_BreastCancer_GCST90041886.log	1190321	1190321	1103624	1103624	1217311	1103624	1091833
ANX_GCST90225527_SCZ_GCST90275146.log	1190321	1190321	1124418	1124418	1217311	1124418	1120278
ADHD_GCST90275137_ANX_GCST90225527.log	1190321	1190321	1167668	1167668	1217311	1167668	1120292
ADHD_ADHD2022_iPSYCH_deCODE_PGC_BIP_daner_bip_pgc3_nm_noukbiobank.log	1190321	1190321	1103624	1103624	1217311	1103624	1086867
ANX_GCST90225529_BreastCancer_GCST90041886.log	1190321	1190321	1124418	1124418	1217311	1124418	1123888
ADHD_GCST90275137_ASD_iPSYCH-PGC_ASD_Nov2017.log	1190321	1190321	1167668	1167668	1217311	1167668	1044131
ADHD_GCST90275149_ASD_GCST90275140.log	1190321	1190321	1167668	1167668	1217311	1167668	1167439
ASD_GCST90275140_ANX_GCST90225527.log	1190321	1190321	1167670	1167670	1217311	1167670	1120286
ADHD_ADHD2022_iPSYCH_deCODE_PGC_ANX_GCST90225529.log	1190321	1190321	1103624	1103624	1217311	1103624	1070443
ASD_GCST010514_ANX_GCST90225527.log	1190321	1190321	1139907	1139907	1217311	1139907	1098352
ADHD_GCST90275149_ANX_GCST90225529.log	1190321	1190321	1167668	1167668	1217311	1167668	1120292
ASD_GCST010514_SCZ_GCST90275158.log	1190321	1190321	1139907	1139907	1217311	1139907	1138685
