id_1,label_1,id_2,label_2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
GCST90435926,epilepsy-1,GCST90042699,intestinal-cancer-sibling,0.611,0.4439,1.3763,0.1687,0.0022,0.0011,1.0112,0.0063,5.1463e-06,0.0049
GCST004692,lateral-sclerosis-2,GCST003769,depression-symptoms,0.0807,0.135,0.5978,0.55,0.0385,0.0035,1.0159,0.0072,0.012,0.0049
GCST90012878,alzheimers-disease-family-history,GCST90246358,cervical-cancer-1,0.1644,0.0875,1.8791,0.0602,0.0053,0.0014,0.9745,0.0075,-0.0087,0.0042
GCST90042778,anxiety-1,GCST90435859,depression-disorder,0.8255,0.1644,5.0204,5.1571e-07,0.0165,0.0015,0.997,0.0068,0.0505,0.0051
GCST90428116,breast-cancer-4,GCST90275158,schizophrenia-M1,0.0461,0.0768,0.6006,0.5481,0.1273,0.0127,1.0358,0.0087,-0.003,0.0054
GCST90225528,anxiety-any,GCST90435857,mood-disorder,0.7233,0.0572,12.641,1.2551e-36,0.0167,0.0015,0.998,0.0076,0.2091,0.0051
GCST90275154,mdd-sex-M1,GCST90435666,uterine-benign-neoplasm,0.2494,0.0918,2.7175,0.0066,0.0108,0.0023,1.0219,0.0072,-0.0023,0.0048
GCST90129450,migraine-disorder-1,GCST90137411,bcc-2,-0.0366,0.0388,-0.9418,0.3463,0.0699,0.0113,0.9741,0.0233,0.0109,0.0061
GCST90042778,anxiety-1,GCST90042696,prostate-cancer-sibling,0.8671,0.5431,1.5965,0.1104,0.0015,0.0011,1.0023,0.0063,-0.0075,0.0046
GCST90435600,breast-cancer-1,GCST90239856,uterine-leiomyoma-2,0.159,0.0622,2.5568,0.0106,0.0252,0.0027,1.0289,0.0124,0.0065,0.0053
GCST90428116,breast-cancer-4,GCST90013410,bcc-1,0.2081,0.0686,3.0344,0.0024,0.0295,0.004,1.0602,0.0145,0.0754,0.0059
GCST90435600,breast-cancer-1,GCST90042673,intestinal-cancer-father,0.2287,0.1957,1.1686,0.2426,0.0018,0.001,1.024,0.0064,-0.0028,0.0044
GCST90042673,intestinal-cancer-father,GCST90042684,lung-cancer-family-mother,-0.1993,0.2895,-0.6886,0.491,0.0036,0.0012,1.0164,0.0066,0.016,0.0048
GCST90042695,depression-family-sibling,GCST90013410,bcc-1,0.0215,0.054,0.3978,0.6908,0.0316,0.0044,1.0621,0.0173,0.0033,0.0054
GCST009979,mdd-1,GCST90011809,melanoma-1,-0.1711,0.0742,-2.307,0.0211,0.009,0.0023,1.0018,0.009,0.0031,0.0051
GCST90041853,prostate-cancer-5,GCST006803,SCZ-PGC-2018,0.0141,0.0464,0.3035,0.7615,1.1921,0.0486,1.1202,0.0143,-0.0088,0.0063
GCST007511,alzheimers-late-onset-1,GCST90129450,migraine-disorder-1,0.0098,0.0671,0.146,0.884,0.0349,0.0031,1.0557,0.0097,0.0008,0.0049
GCST003740,adenocarcinoma-barret-oesophagus,GCST90428117,prostate-cancer,0.1151,0.0822,1.4007,0.1613,0.0314,0.0044,1.0472,0.0109,-0.0036,0.0055
PGC-ADHD-2022,ADHD-PGC-2022,GCST90435594,skin-cancer,0.0168,0.0428,0.3922,0.6949,0.017,0.0036,1.0271,0.0178,0.0008,0.0064
GCST010010,mdd-lifetime-recurrent,GCST012431,parkinsons-1,-0.0504,0.2051,-0.2457,0.806,0.4036,0.109,1.01,0.0194,-0.001,0.0141
GCST90042672,lung-cancer-family-father,GCST90275156,schizo-age-sex-M1,0.2428,0.0827,2.936,0.0033,0.1136,0.0122,1.0313,0.008,0.0107,0.0058
GCST003769,depression-symptoms,GCST90042670,prostate-cancer-father,-0.0457,0.1053,-0.4343,0.6641,0.0065,0.0013,1.0232,0.0085,-0.0014,0.0059
GCST90042672,lung-cancer-family-father,GCST90275153,mdd-age-sex-M1,0.1753,0.0682,2.5687,0.0102,0.1074,0.0093,1.0215,0.0074,0.0092,0.0055
GCST005902,depression-broad,GCST90435667,uterine-leiomyoma,0.2039,0.068,2.9986,0.0027,0.0118,0.0023,1.0201,0.0074,0.0088,0.0059
GCST004692,lateral-sclerosis-2,GCST90128471-females,SCZ-PGC-2022-females,0.1934,0.0947,2.042,0.0411,0.2858,0.0193,1.083,0.0118,0.0415,0.0059
GCST90042669,depression-family-father,GCST90042699,intestinal-cancer-sibling,-0.0387,0.2276,-0.1701,0.8649,0.0022,0.0011,1.0114,0.0062,0.0044,0.0049
GCST90255675,crc-cancer-1,GCST90011808,prostate-cancer-3,0.0408,0.0532,0.7672,0.443,0.0333,0.0047,1.0554,0.0193,0.0306,0.0102
GCST90271611,epilepsy-2,GCST90275158,schizophrenia-M1,0.0096,0.0762,0.1262,0.8996,0.116,0.0134,1.0487,0.0109,0.0014,0.0072
GCST90255676,crc-cancer-2,GCST006465,endometrial-carcinoma-1,0.2211,0.1162,1.9031,0.057,0.0349,0.0097,1.0741,0.0089,0.0431,0.0079
GCST90129443,headache-disorder-2,GCST90275157,schizo-sex-M1,0.2535,0.0515,4.9251,8.4329e-07,0.1267,0.0128,1.0376,0.0088,0.0133,0.006
GCST006465,endometrial-carcinoma-1,GCST90435594,skin-cancer,-0.1984,0.1067,-1.8596,0.0629,0.0169,0.0031,1.0301,0.0138,0.0016,0.0059
GCST90042686,breast-cancer-family-mother,GCST001198,multiple-sclerosis-2,-0.0181,0.1455,-0.1241,0.9012,0.1438,0.0716,1.0347,0.0162,0.0008,0.0062
GCST90435863,anxiety-3,GCST90320057,renal-carcinoma,0.1868,0.0682,2.7398,0.0061,0.013,0.0012,0.9904,0.0115,0.0124,0.0051
GCST008465,ANN-PGC-2019,GCST90042669,depression-family-father,0.3506,0.086,4.0789,4.5246e-05,0.0069,0.0015,1.0125,0.0083,0.0129,0.0071
GCST90275148,ADHD-sex-M1,GCST90042682,depression-family-mother,0.1661,0.059,2.8143,0.0049,0.0089,0.0013,1.0202,0.0077,0.0132,0.0054
GCST90435863,anxiety-3,GCST009158,uterine-fibroid-1,-0.0623,0.1015,-0.6139,0.5393,0.0203,0.0028,0.985,0.0084,-0.0227,0.0053
GCST002245,alzheimers-late-onset-4,GCST90042844,anxiety-treatment-2,-0.0638,0.104,-0.6135,0.5395,0.0274,0.0038,0.9974,0.0062,0.0021,0.0048
GCST90255675,crc-cancer-1,GCST90042872,uterine-fibroid-leiomyoma,0.0052,0.077,0.068,0.9458,0.0074,0.0019,1.0133,0.0072,0.0027,0.0054
GCST006464,endometrial-carcinoma-2,GCST90435663,skin-benign-neoplasm,0.0917,0.129,0.7105,0.4774,0.0039,0.0011,1.0123,0.0071,-0.0001,0.0048
