id_1,label_1,id_2,label_2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
GCST90275158,schizophrenia-M1,GCST90013410,bcc-1,-0.013,0.0517,-0.2519,0.8011,0.0317,0.0044,1.062,0.0172,0.0004,0.0057
GCST90042698,lung-cancer-family-sibling,GCST90041853,prostate-cancer-5,0.0827,0.15,0.5509,0.5817,0.018,0.0029,1.03,0.0107,-0.0028,0.0045
GCST90137411,bcc-2,GCST90137411,bcc-2,1.0,2.2054e-06,453429.6142,0.0,0.0697,0.0121,0.9758,0.0235,0.9758,0.0235
GCST90011816,cervical-cancer-2,GCST90013410,bcc-1,0.0549,0.0829,0.6613,0.5084,0.0315,0.0044,1.062,0.0172,0.0363,0.0055
GCST90042843,anxiety-treatment-1,GCST90271619,partial-epilepsy-2,-0.1741,0.133,-1.3089,0.1906,0.0468,0.0111,1.0246,0.0085,0.0082,0.0071
GCST003740,adenocarcinoma-barret-oesophagus,GCST90137411,bcc-2,0.0679,0.0479,1.4178,0.1563,0.0697,0.0121,0.9758,0.0234,0.003,0.0061
GCST90042669,depression-family-father,GCST009979,mdd-1,0.7163,0.09,7.9571,1.7617e-15,0.078,0.0059,1.0182,0.0076,0.0465,0.0048
GCST90275150,autism-age-sex-M1,GCST90435919,headache-disorder-1,0.1165,0.0811,1.4357,0.1511,0.0067,0.0011,0.9999,0.0064,0.0006,0.0048
GCST90246358,cervical-cancer-1,GCST003566,multiple-sclerosis-1,-0.1821,0.1351,-1.3481,0.1776,0.3042,0.112,1.0646,0.0165,0.0106,0.0056
GCST006465,endometrial-carcinoma-1,GCST006465,endometrial-carcinoma-1,1.0,9.9536e-06,100464.2692,0.0,0.0348,0.0099,1.0747,0.0091,1.0747,0.0091
GCST002245,alzheimers-late-onset-4,GCST002245,alzheimers-late-onset-4,1.0,1.2350e-05,80976.3754,0.0,0.0532,0.0141,1.0548,0.0217,1.0548,0.0217
GCST90275152,autism-1,GCST003769,depression-symptoms,0.3689,0.0508,7.2557,3.9947e-13,0.0384,0.0033,1.0159,0.0072,0.0062,0.006
GCST90042784,depression-postpartum,GCST90275153,mdd-age-sex-M1,0.0527,0.1991,0.2648,0.7912,0.1088,0.0087,1.0223,0.0076,0.0068,0.0048
GCST90042844,anxiety-treatment-2,GCST006465,endometrial-carcinoma-1,0.2147,0.1617,1.3278,0.1842,0.0346,0.0098,1.0749,0.0091,-0.0055,0.0062
GCST90041833,breast-neoplasm-2,GCST90435667,uterine-leiomyoma,0.1033,0.1187,0.8706,0.384,0.0114,0.0024,1.0213,0.0076,0.0285,0.0052
GCST90041886,breast-carcinoma-2,GCST90042669,depression-family-father,0.057,0.1094,0.5206,0.6026,0.0069,0.0014,1.0111,0.0069,-0.0085,0.0049
GCST90428117,prostate-cancer,GCST006803,SCZ-PGC-2018,0.0721,0.0512,1.4094,0.1587,1.177,0.0512,1.1139,0.0158,-0.0139,0.0077
GCST009315,PTSD-PGC-2019,GCST90128471-females,SCZ-PGC-2022-females,0.2722,0.07,3.8878,0.0001,0.2833,0.0195,1.0856,0.0126,0.039,0.0061
GCST009981,mdd-notrauma,GCST90428117,prostate-cancer,0.2128,0.1386,1.5355,0.1247,0.0315,0.0045,1.0472,0.011,-0.0013,0.0057
GCST90041853,prostate-cancer-5,GCST007277,TS-PGC-2019,0.1315,0.0953,1.3789,0.1679,0.2746,0.0413,1.0361,0.0086,-0.0057,0.005
GCST90042695,depression-family-sibling,GCST90042685,intestinal-cancer-mother,0.1737,0.1322,1.3141,0.1888,0.0034,0.001,1.0086,0.0063,0.0034,0.0053
GCST90042695,depression-family-sibling,GCST90435594,skin-cancer,0.0197,0.0671,0.2938,0.7689,0.0169,0.0033,1.0288,0.0119,0.0005,0.0051
GCST90042686,breast-cancer-family-mother,GCST90275158,schizophrenia-M1,-0.0977,0.0876,-1.1156,0.2646,0.1264,0.0132,1.0383,0.0087,4.7803e-05,0.0047
GCST90435602,breast-cancer-3,GCST90246358,cervical-cancer-1,0.0026,0.0759,0.0344,0.9726,0.0053,0.0014,0.9747,0.0077,0.0008,0.0035
GCST90435657,digestive-neoplasm,GCST90435667,uterine-leiomyoma,0.4606,0.3158,1.4587,0.1446,0.0117,0.0024,1.0204,0.0074,-0.0002,0.0047
GCST90271611,epilepsy-2,GCST004748,lung-carcinoma-1,-0.0168,0.0717,-0.2348,0.8144,0.0805,0.0152,1.0523,0.013,0.0405,0.0075
GCST001241,BIP-PGC-2011,GCST009981,mdd-notrauma,0.3955,0.1485,2.663,0.0077,0.0315,0.01,1.0176,0.0085,0.0096,0.0071
GCST90275155,mdd-5,GCST90137411,bcc-2,0.0144,0.038,0.3784,0.7051,0.0698,0.0121,0.9761,0.0236,-0.0069,0.005
GCST90041886,breast-carcinoma-2,GCST003740,adenocarcinoma-barret-oesophagus,0.101,0.0733,1.3787,0.168,0.2355,0.0308,1.0062,0.0095,-0.0036,0.0051
GCST004748,lung-carcinoma-1,GCST90042670,prostate-cancer-father,-0.0934,0.1054,-0.8863,0.3754,0.0066,0.0013,1.0207,0.0083,-0.0004,0.0052
GCST90042841,anxiety-medication,GCST90137412,squamous-carcinoma,0.0953,0.049,1.9457,0.0517,0.0961,0.0108,0.7865,0.0187,0.0053,0.0055
GCST90012878,alzheimers-disease-family-history,GCST005902,depression-broad,-0.0901,0.0585,-1.5409,0.1233,0.0573,0.0029,1.039,0.0101,0.0209,0.0054
GCST90137411,bcc-2,GCST90435594,skin-cancer,0.9359,0.0286,32.7515,2.8891e-235,0.0155,0.0025,1.0274,0.0105,0.4808,0.0137
GCST90042784,depression-postpartum,GCST90044335,glaucoma,0.0868,0.2501,0.3471,0.7285,0.0314,0.0038,1.0392,0.009,0.0039,0.005
GCST90043874,skin-carcinoma-face,GCST90044453,uterine-polyp-2,0.0903,0.155,0.5826,0.5601,0.0055,0.0019,1.004,0.0064,0.0051,0.0051
GCST90137411,bcc-2,GCST90435663,skin-benign-neoplasm,0.4758,0.1013,4.6971,2.6388e-06,0.0035,0.0011,1.0149,0.0069,0.0681,0.0066
GCST010514,autism-2,GCST90042695,depression-family-sibling,0.3211,0.0625,5.1364,2.8009e-07,0.0129,0.0016,1.0171,0.008,0.0136,0.0053
GCST90042860,crc-benign-neoplasm,GCST90435631,lymph-node-malignant-neoplasm,0.3878,0.1184,3.277,0.001,0.0046,0.0011,0.9968,0.0063,0.0256,0.005
GCST90428118,crc-cancer-3,GCST006465,endometrial-carcinoma-1,0.0247,0.2034,0.1216,0.9032,0.0348,0.0098,1.0742,0.0093,0.0019,0.0057
GCST90042843,anxiety-treatment-1,GCST90255675,crc-cancer-1,-0.0558,0.0486,-1.1482,0.2509,0.0862,0.0092,1.1789,0.0228,0.0029,0.0057
GCST90042695,depression-family-sibling,GCST90042698,lung-cancer-family-sibling,0.178,0.1283,1.3873,0.1653,0.0043,0.0014,1.0091,0.0067,0.0008,0.0049
GCST90012878,alzheimers-disease-family-history,GCST90043889,breast-neoplasm-1,0.006,0.116,0.0518,0.9587,0.0049,0.0011,1.0109,0.0079,0.0009,0.0052
GCST90225527,anxiety-2,GCST90435600,breast-cancer-1,0.1222,0.0867,1.4092,0.1588,0.0111,0.0017,1.0435,0.0104,0.008,0.0054
GCST90435857,mood-disorder,GCST90044453,uterine-polyp-2,0.1669,0.1305,1.279,0.2009,0.0054,0.0019,1.0042,0.0064,0.002,0.0051
GCST003769,depression-symptoms,GCST90042696,prostate-cancer-sibling,0.2398,0.2442,0.9821,0.326,0.0014,0.0012,1.0031,0.0066,0.0034,0.0051
GCST90042698,lung-cancer-family-sibling,GCST010009,mdd-lifetime-1,0.4211,0.1489,2.8272,0.0047,0.0688,0.0085,1.0232,0.0079,0.0049,0.0049
GCST006464,endometrial-carcinoma-2,GCST90128471-male,SCZ-PGC-2022-males,0.0655,0.0643,1.0188,0.3083,0.3836,0.0199,1.0698,0.0137,0.019,0.0064
GCST90042698,lung-cancer-family-sibling,GCST90043894,prostate-cancer-1,-0.0289,0.1424,-0.2027,0.8394,0.0254,0.0035,1.0432,0.014,0.0003,0.0051
GCST90275151,autism-sex-M1,GCST90320057,renal-carcinoma,0.0117,0.044,0.2664,0.7899,0.0131,0.0012,0.9901,0.0117,-0.0076,0.0053
GCST90041833,breast-neoplasm-2,GCST90042695,depression-family-sibling,0.0584,0.0781,0.748,0.4545,0.0127,0.0015,1.0179,0.0079,-0.0096,0.0047
GCST90435600,breast-cancer-1,GCST004750,lung-cancer-squamous,0.0965,0.093,1.0372,0.2997,0.0544,0.0144,1.0406,0.0091,0.0009,0.0052
GCST90428118,crc-cancer-3,GCST90428117,prostate-cancer,-0.0737,0.1166,-0.632,0.5274,0.0315,0.0044,1.0469,0.0109,0.0726,0.0061
GCST90042695,depression-family-sibling,GCST003769,depression-symptoms,0.7165,0.0768,9.3279,1.0796e-20,0.0387,0.0034,1.0147,0.0075,0.0364,0.0052
GCST008465,ANN-PGC-2019,GCST90275157,schizo-sex-M1,0.2943,0.0578,5.0935,3.5148e-07,0.1207,0.0134,1.0466,0.0104,0.0652,0.0072
GCST007511,alzheimers-late-onset-1,PGC-ADHD-2022,ADHD-PGC-2022,0.0823,0.0645,1.2763,0.2019,0.0841,0.0045,1.0797,0.0109,0.0075,0.0064
GCST90275149,ADHD-1,GCST90275155,mdd-5,0.5715,0.0329,17.3906,9.7278e-68,0.1192,0.0091,1.0287,0.0076,0.4557,0.0062
GCST010009,mdd-lifetime-1,GCST90042670,prostate-cancer-father,-0.0447,0.1018,-0.4393,0.6604,0.0066,0.0013,1.02,0.0084,-0.0003,0.0047
GCST004744,adenocarcinoma-lung,GCST90428117,prostate-cancer,0.0051,0.0944,0.054,0.957,0.0323,0.0048,1.045,0.0113,0.0074,0.006
GCST90137411,bcc-2,GCST90137412,squamous-carcinoma,0.6081,0.0562,10.8256,2.6049e-27,0.0959,0.0109,0.7881,0.0191,0.5435,0.0197
GCST90042786,depression-trauma,GCST90271613,partial-epilepsy-1,0.2549,0.2156,1.1821,0.2372,0.0384,0.0099,1.1203,0.0089,-0.0005,0.0066
GCST90275149,ADHD-1,PGC-BIP-2021,BIP-PGC-2021,0.1967,0.036,5.4676,4.5612e-08,0.0706,0.0036,1.0993,0.0131,0.031,0.0074
GCST008465,ANN-PGC-2019,GCST90436787,musculoskeletal-disorder,-0.0838,0.0893,-0.9382,0.3482,0.0053,0.0015,0.9949,0.0093,0.0104,0.007
GCST90042786,depression-trauma,GCST90044453,uterine-polyp-2,-0.3704,0.2503,-1.4796,0.139,0.0055,0.0019,1.0041,0.0064,0.0052,0.0052
GCST90275152,autism-1,GCST90129450,migraine-disorder-1,0.2071,0.0483,4.2851,1.8267e-05,0.0345,0.0031,1.0575,0.0098,-0.0045,0.0054
GCST90042682,depression-family-mother,GCST009979,mdd-1,0.7896,0.0719,10.9756,5.0088e-28,0.078,0.0059,1.0182,0.0076,0.059,0.005
GCST90044335,glaucoma,GCST90275158,schizophrenia-M1,0.1118,0.0711,1.5726,0.1158,0.1264,0.0132,1.0382,0.0087,-0.0055,0.005
GCST90275149,ADHD-1,GCST007277,TS-PGC-2019,0.1477,0.0553,2.6716,0.0075,0.2776,0.0412,1.035,0.0087,0.0242,0.0062
GCST90435864,anxiety-4,GCST90041830,non-epithelial-carcinoma,-0.1326,0.0878,-1.5098,0.1311,0.0169,0.0027,1.0281,0.0123,0.0138,0.0049
GCST90027164,lateral-sclerosis-1,GCST90255676,crc-cancer-2,0.1358,0.059,2.3035,0.0213,0.0884,0.009,1.1503,0.021,-0.0043,0.006
GCST90435601,breast-cancer-2,GCST009337,SCZ-PGC-2019,-0.0021,0.0406,-0.0519,0.9586,0.446,0.0196,1.0922,0.0137,-0.0109,0.0059
GCST90128471-females,SCZ-PGC-2022-females,GCST90137411,bcc-2,-0.0067,0.0307,-0.2193,0.8264,0.0685,0.0121,0.9801,0.0277,0.0111,0.0071
GCST90042686,breast-cancer-family-mother,GCST004749,lung-carcinoma-smokers,0.0943,0.1107,0.8515,0.3945,0.1094,0.0264,1.0449,0.0098,-0.0078,0.0052
GCST90042860,crc-benign-neoplasm,GCST90275155,mdd-5,0.2502,0.0546,4.5812,4.6235e-06,0.1181,0.0095,1.0302,0.0075,0.0081,0.0049
GCST90320057,renal-carcinoma,GCST90128471-all,SCZ-PGC-2022-all,0.0094,0.0308,0.3054,0.7601,0.344,0.0164,1.1605,0.0199,0.0373,0.0079
GCST90129443,headache-disorder-2,GCST90011809,melanoma-1,-0.0388,0.0533,-0.7283,0.4664,0.009,0.0024,1.0021,0.0092,-0.0008,0.0051
GCST005903,mdd-2,GCST90128471-all,SCZ-PGC-2022-all,0.327,0.0456,7.17,7.4981e-13,0.3453,0.0161,1.1583,0.0197,0.0001,0.0073
GCST90435863,anxiety-3,GCST90275149,ADHD-1,0.5021,0.0648,7.7483,9.3101e-15,0.2441,0.0144,1.0759,0.0087,0.0119,0.0052
GCST90012878,alzheimers-disease-family-history,GCST006465,endometrial-carcinoma-1,-0.2165,0.1595,-1.3573,0.1747,0.0349,0.0099,1.0746,0.0091,-0.0031,0.0061
GCST90042860,crc-benign-neoplasm,GCST90435857,mood-disorder,0.309,0.0624,4.9501,7.4181e-07,0.0165,0.0015,0.9992,0.0072,0.0382,0.0043
GCST90042841,anxiety-medication,GCST90435667,uterine-leiomyoma,0.1878,0.1093,1.7185,0.0857,0.0115,0.0024,1.0208,0.0076,-0.0001,0.005
GCST90435657,digestive-neoplasm,GCST90042684,lung-cancer-family-mother,0.7228,0.5374,1.3451,0.1786,0.0036,0.0012,1.0166,0.0067,-0.0061,0.0046
GCST90428118,crc-cancer-3,GCST90436510,uterine-polyp-1,-0.1939,0.2553,-0.7595,0.4476,0.0042,0.0021,1.0023,0.0068,0.0127,0.0051
PGC-BIP-2021,BIP-PGC-2021,GCST90271619,partial-epilepsy-2,-0.1978,0.0701,-2.8221,0.0048,0.0452,0.0111,1.0263,0.0089,0.0288,0.0078
GCST003566,multiple-sclerosis-1,GCST90435945,peripheral-cns-disorder,0.0883,0.0674,1.3108,0.1899,0.0165,0.0015,1.0246,0.0082,-0.0027,0.0052
GCST90042682,depression-family-mother,GCST90239856,uterine-leiomyoma-2,0.1057,0.0681,1.5519,0.1207,0.0254,0.0029,1.0283,0.013,0.0031,0.005
GCST90012878,alzheimers-disease-family-history,GCST90042696,prostate-cancer-sibling,-0.0345,0.244,-0.1414,0.8875,0.0015,0.0011,1.0022,0.0064,0.0023,0.0046
GCST90042841,anxiety-medication,GCST010009,mdd-lifetime-1,0.7704,0.0602,12.8047,1.5438e-37,0.0689,0.0084,1.0231,0.0079,0.327,0.0059
GCST90435945,peripheral-cns-disorder,GCST90128471-females,SCZ-PGC-2022-females,-0.1723,0.0524,-3.2883,0.001,0.2843,0.0197,1.0845,0.0125,-0.0012,0.0065
GCST90042695,depression-family-sibling,GCST90436787,musculoskeletal-disorder,-0.0088,0.1015,-0.0869,0.9307,0.0051,0.0014,0.9957,0.0075,0.0074,0.0053
GCST009980,mdd-trauma,GCST90044453,uterine-polyp-2,0.1351,0.1668,0.8099,0.418,0.0054,0.0019,1.0044,0.0064,0.0046,0.0043
GCST90436787,musculoskeletal-disorder,GCST90044453,uterine-polyp-2,0.0566,0.2719,0.2082,0.8351,0.0054,0.0019,1.0041,0.0064,0.0075,0.0053
GCST90275151,autism-sex-M1,GCST90436787,musculoskeletal-disorder,-0.0322,0.1091,-0.2954,0.7677,0.0051,0.0014,0.9957,0.0075,0.003,0.0055
GCST90042841,anxiety-medication,GCST004749,lung-carcinoma-smokers,0.0301,0.0797,0.3784,0.7051,0.1094,0.0264,1.0448,0.0098,0.0003,0.0054
GCST90275147,ADHD-age-sex-M1,GCST90137411,bcc-2,-0.0145,0.0307,-0.471,0.6376,0.0698,0.0121,0.976,0.0236,-0.0058,0.0061
GCST90435919,headache-disorder-1,GCST90137411,bcc-2,0.0185,0.0608,0.3043,0.7609,0.0697,0.0121,0.9758,0.0235,-0.0079,0.0052
GCST90042685,intestinal-cancer-mother,GCST90275156,schizo-age-sex-M1,0.253,0.122,2.0734,0.0381,0.1136,0.0123,1.0313,0.008,-0.0051,0.0053
GCST90011816,cervical-cancer-2,GCST005902,depression-broad,0.1544,0.0743,2.0791,0.0376,0.0578,0.0028,1.0352,0.0098,0.0103,0.0061
GCST90435926,epilepsy-1,GCST009980,mdd-trauma,0.6006,0.2773,2.1656,0.0303,0.1098,0.0166,0.9998,0.0066,0.0076,0.0045
GCST009337,SCZ-PGC-2019,GCST90042872,uterine-fibroid-leiomyoma,0.0533,0.068,0.7835,0.4334,0.0072,0.0018,1.0147,0.0066,-0.0066,0.0056
GCST90042682,depression-family-mother,GCST90043874,skin-carcinoma-face,0.0007,0.0978,0.007,0.9944,0.0083,0.0014,1.0232,0.0079,-0.0078,0.0051
GCST90044335,glaucoma,GCST90042699,intestinal-cancer-sibling,-0.0062,0.1739,-0.0354,0.9718,0.0022,0.0011,1.0115,0.0062,0.0056,0.0045
GCST90435601,breast-cancer-2,GCST90043894,prostate-cancer-1,0.0635,0.0756,0.8409,0.4004,0.0254,0.0035,1.0433,0.014,0.0043,0.0053
GCST004749,lung-carcinoma-smokers,GCST010010,mdd-lifetime-recurrent,0.1441,0.1051,1.3703,0.1706,0.0676,0.0094,1.0204,0.0081,-0.0022,0.0061
GCST90044335,glaucoma,GCST90435631,lymph-node-malignant-neoplasm,-0.1772,0.1157,-1.531,0.1258,0.0046,0.0011,0.9969,0.0063,0.0085,0.0051
GCST90435600,breast-cancer-1,GCST006803,SCZ-PGC-2018,0.0007,0.0419,0.0161,0.9872,1.1978,0.049,1.1163,0.0142,-0.0109,0.0067
GCST90275148,ADHD-sex-M1,GCST005902,depression-broad,0.4361,0.0367,11.8681,1.7343e-32,0.0576,0.0028,1.0379,0.0097,0.0115,0.0066
GCST90435863,anxiety-3,GCST010010,mdd-lifetime-recurrent,0.6461,0.1029,6.2799,3.3880e-10,0.0666,0.0091,1.0219,0.0079,0.0631,0.0055
GCST90128471-females,SCZ-PGC-2022-females,GCST90239856,uterine-leiomyoma-2,-0.0534,0.0385,-1.3876,0.1653,0.026,0.0028,1.0235,0.0142,0.0206,0.0063
GCST90275148,ADHD-sex-M1,GCST90275152,autism-1,0.4515,0.038,11.8667,1.7619e-32,0.1633,0.0124,1.0316,0.0083,0.4805,0.0066
GCST90225528,anxiety-any,GCST010514,autism-2,0.177,0.0633,2.795,0.0052,0.1759,0.0148,1.0193,0.0099,0.0012,0.0061
GCST004692,lateral-sclerosis-2,GCST006803,SCZ-PGC-2018,0.2541,0.0635,4.0035,6.2404e-05,1.1966,0.047,1.1178,0.015,0.0428,0.0058
GCST90275149,ADHD-1,GCST004744,adenocarcinoma-lung,0.2519,0.0586,4.2983,1.7214e-05,0.0636,0.0108,1.042,0.0088,0.0035,0.0055
GCST90435602,breast-cancer-3,GCST90435663,skin-benign-neoplasm,-0.0076,0.1365,-0.0554,0.9558,0.0038,0.0012,1.013,0.0075,0.0132,0.0053
GCST004744,adenocarcinoma-lung,GCST90042698,lung-cancer-family-sibling,0.5256,0.1454,3.615,0.0003,0.0047,0.0014,1.0059,0.0068,0.0069,0.0051
PGC-BIP-2021,BIP-PGC-2021,GCST90275157,schizo-sex-M1,0.5139,0.0421,12.1951,3.3013e-34,0.1224,0.0128,1.0414,0.0093,0.0574,0.0075
GCST90042695,depression-family-sibling,GCST90128471-male,SCZ-PGC-2022-males,0.5544,0.0486,11.411,3.6840e-30,0.3834,0.0203,1.0705,0.0138,0.0184,0.0066
GCST90435600,breast-cancer-1,GCST003740,adenocarcinoma-barret-oesophagus,0.0717,0.0657,1.0921,0.2748,0.2434,0.0296,1.0021,0.0091,-0.0007,0.0047
GCST90041886,breast-carcinoma-2,GCST012431,parkinsons-1,0.2675,0.1339,1.9973,0.0458,0.4028,0.109,1.0103,0.0193,-0.0103,0.0134
GCST90042686,breast-cancer-family-mother,GCST90435666,uterine-benign-neoplasm,0.417,0.1449,2.8772,0.004,0.0107,0.0024,1.0218,0.0074,-0.0084,0.0049
GCST90042669,depression-family-father,GCST90043874,skin-carcinoma-face,0.0836,0.1149,0.7271,0.4672,0.0083,0.0014,1.0233,0.0079,-0.0028,0.0051
GCST90042844,anxiety-treatment-2,GCST90042686,breast-cancer-family-mother,0.0527,0.1158,0.4546,0.6494,0.0063,0.0014,1.0264,0.0094,0.0071,0.0053
GCST002245,alzheimers-late-onset-4,GCST90044453,uterine-polyp-2,-0.0331,0.1714,-0.193,0.847,0.0057,0.0019,1.0027,0.0068,-0.0009,0.0049
GCST90428118,crc-cancer-3,GCST004744,adenocarcinoma-lung,0.1532,0.1154,1.3277,0.1843,0.0646,0.0114,1.0366,0.0089,0.0037,0.005
GCST90041830,non-epithelial-carcinoma,GCST90435666,uterine-benign-neoplasm,0.0124,0.0909,0.1359,0.8919,0.0107,0.0024,1.0219,0.0074,0.0107,0.005
PGC-BIP-2021,BIP-PGC-2021,GCST90042695,depression-family-sibling,0.6802,0.0505,13.458,2.7638e-41,0.0125,0.0016,1.0194,0.0087,0.0339,0.0068
GCST90042843,anxiety-treatment-1,GCST90275154,mdd-sex-M1,0.4829,0.0685,7.0507,1.7801e-12,0.1179,0.0094,1.0283,0.0075,0.0125,0.0047
GCST003769,depression-symptoms,GCST90129450,migraine-disorder-1,0.2091,0.061,3.4273,0.0006,0.0347,0.0032,1.0608,0.0103,0.013,0.006
GCST90042682,depression-family-mother,GCST009981,mdd-notrauma,0.9811,0.1903,5.1564,2.5171e-07,0.0298,0.0093,1.0168,0.0066,0.025,0.0048
GCST90275148,ADHD-sex-M1,GCST90042670,prostate-cancer-father,-0.1282,0.0696,-1.8413,0.0656,0.0065,0.0013,1.0205,0.0083,-0.007,0.0057
GCST004749,lung-carcinoma-smokers,GCST90137412,squamous-carcinoma,0.4141,0.0503,8.2358,1.7831e-16,0.095,0.0109,0.7882,0.019,0.0182,0.0063
GCST90042695,depression-family-sibling,GCST90435657,digestive-neoplasm,0.3893,0.2591,1.5024,0.133,0.0014,0.0013,1.0267,0.0071,-0.0017,0.005
GCST003769,depression-symptoms,GCST006464,endometrial-carcinoma-2,0.0452,0.0806,0.561,0.5748,0.0264,0.0047,1.0644,0.0081,0.0007,0.0055
GCST90428116,breast-cancer-4,GCST90042695,depression-family-sibling,-0.0624,0.0831,-0.7508,0.4528,0.0134,0.0016,1.0156,0.0086,-0.0009,0.0055
GCST90041886,breast-carcinoma-2,GCST006464,endometrial-carcinoma-2,0.2496,0.1101,2.2666,0.0234,0.0237,0.0045,1.0699,0.0083,-0.0018,0.0049
GCST90435863,anxiety-3,GCST90435600,breast-cancer-1,0.0171,0.0979,0.1742,0.8617,0.0116,0.0018,1.039,0.0096,0.0179,0.0052
GCST90041886,breast-carcinoma-2,GCST006803,SCZ-PGC-2018,0.0156,0.0496,0.314,0.7535,1.1917,0.0486,1.1202,0.0143,-0.0083,0.0064
GCST90225527,anxiety-2,GCST90042784,depression-postpartum,0.3521,0.2556,1.3774,0.1684,0.0106,0.0076,0.9964,0.0064,0.0097,0.0046
GCST90042682,depression-family-mother,GCST90042695,depression-family-sibling,1.0444,0.0894,11.6757,1.6966e-31,0.0127,0.0015,1.0179,0.0079,0.1562,0.0053
GCST90041833,breast-neoplasm-2,GCST90239856,uterine-leiomyoma-2,0.1523,0.0705,2.1614,0.0307,0.0254,0.0029,1.0283,0.0131,0.0021,0.0057
GCST90042860,crc-benign-neoplasm,GCST90128471-all,SCZ-PGC-2022-all,0.07,0.0436,1.6046,0.1086,0.3453,0.0166,1.158,0.02,0.0017,0.0071
GCST90275155,mdd-5,GCST90041853,prostate-cancer-5,0.0628,0.0716,0.8773,0.3803,0.0178,0.0029,1.0303,0.0108,-0.0026,0.0054
GCST90225528,anxiety-any,GCST90275150,autism-age-sex-M1,0.2987,0.0708,4.2188,2.4565e-05,0.1446,0.0117,1.0326,0.0085,0.0021,0.0056
GCST003740,adenocarcinoma-barret-oesophagus,GCST001198,multiple-sclerosis-2,0.0487,0.0879,0.5534,0.58,0.1492,0.0706,1.0319,0.0157,0.0667,0.0062
GCST90271613,partial-epilepsy-1,GCST90129450,migraine-disorder-1,0.0733,0.107,0.6848,0.4935,0.0316,0.0034,1.0728,0.0111,0.0091,0.0067
GCST001241,BIP-PGC-2011,GCST009980,mdd-trauma,0.2888,0.1174,2.4596,0.0139,0.0931,0.019,1.0089,0.0087,0.0029,0.007
GCST90042699,intestinal-cancer-sibling,GCST90042673,intestinal-cancer-father,0.3575,0.4062,0.88,0.3788,0.0018,0.001,1.024,0.0064,0.0429,0.0046
GCST90042784,depression-postpartum,GCST90435857,mood-disorder,0.0575,0.1943,0.2962,0.7671,0.0165,0.0014,1.0007,0.0072,0.02,0.0044
GCST005903,mdd-2,GCST90011809,melanoma-1,0.0807,0.0889,0.9074,0.3642,0.0091,0.0023,1.0017,0.0089,-0.0078,0.0053
GCST90271613,partial-epilepsy-1,GCST90137412,squamous-carcinoma,0.1924,0.0786,2.4459,0.0144,0.0908,0.0129,0.8015,0.027,0.0041,0.0081
GCST90435857,mood-disorder,GCST90435857,mood-disorder,1.0004,8.2955e-05,12059.1445,0.0,0.0161,0.0014,1.0015,0.0068,1.0015,0.0068
GCST90275148,ADHD-sex-M1,GCST010514,autism-2,0.4389,0.052,8.4404,3.1617e-17,0.1768,0.0152,1.0183,0.01,0.2433,0.0072
GCST90041833,breast-neoplasm-2,GCST90428117,prostate-cancer,0.1284,0.0915,1.4036,0.1604,0.0305,0.0047,1.05,0.0113,0.0028,0.0058
GCST002245,alzheimers-late-onset-4,GCST90428117,prostate-cancer,-0.1901,0.1134,-1.6762,0.0937,0.0298,0.0046,1.0516,0.012,0.0042,0.0056
GCST90027164,lateral-sclerosis-1,GCST90042682,depression-family-mother,-0.0742,0.0846,-0.8774,0.3803,0.0093,0.0012,1.016,0.0077,0.0014,0.0049
GCST90435864,anxiety-4,GCST90042786,depression-trauma,0.2672,0.1613,1.6569,0.0975,0.0205,0.0053,1.012,0.0072,-0.0103,0.0049
GCST90042686,breast-cancer-family-mother,GCST004744,adenocarcinoma-lung,0.07,0.1139,0.6142,0.5391,0.0639,0.0111,1.042,0.0088,-0.007,0.0055
GCST90435601,breast-cancer-2,GCST90428116,breast-cancer-4,1.0033,0.037,27.1155,6.4728e-162,0.0218,0.0036,1.0321,0.0085,0.6777,0.0083
GCST90275150,autism-age-sex-M1,GCST007277,TS-PGC-2019,0.1094,0.0693,1.5773,0.1147,0.2775,0.0412,1.035,0.0087,0.0167,0.0055
GCST90435859,depression-disorder,GCST90436787,musculoskeletal-disorder,0.3904,0.1051,3.7158,0.0002,0.0051,0.0014,0.9954,0.0078,0.0424,0.0051
GCST90043889,breast-neoplasm-1,GCST90042872,uterine-fibroid-leiomyoma,-0.0735,0.1533,-0.4798,0.6314,0.0072,0.0018,1.0147,0.0067,0.0111,0.0043
GCST006465,endometrial-carcinoma-1,GCST009315,PTSD-PGC-2019,-0.031,0.1757,-0.1763,0.86,0.0153,0.0028,1.0263,0.0078,0.0197,0.0058
GCST90435602,breast-cancer-3,GCST009337,SCZ-PGC-2019,-0.0179,0.042,-0.4257,0.6703,0.446,0.0196,1.0922,0.0137,-0.0092,0.0059
GCST90011804,breast-carcinoma-1,GCST90044453,uterine-polyp-2,0.2417,0.1402,1.724,0.0847,0.0052,0.0019,1.0055,0.0067,0.0347,0.0051
GCST90128471-females,SCZ-PGC-2022-females,GCST90013410,bcc-1,0.0177,0.0383,0.4616,0.6444,0.0312,0.0046,1.0655,0.0197,0.0024,0.0072
GCST90428117,prostate-cancer,GCST90044453,uterine-polyp-2,0.2858,0.1593,1.794,0.0728,0.0052,0.0019,1.0049,0.0066,0.0004,0.0056
