condition1,dataset1,condition2,dataset2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
Bip,BIP2012,CAD,GCST000998,-0.1098,0.0689,-1.5931,0.1111,0.0679,0.0089,1.0278,0.0106,0.0603,0.0066
Bip,BIP2012,College,GCST008396,0.272,0.0675,4.0316,5.5390e-05,0.0721,0.0065,1.0538,0.012,0.0148,0.0081
DEP,MDD2012,HDL,GCST000755,-0.0087,0.1042,-0.0836,0.9334,0.0805,0.0261,0.9904,0.0599,0.0014,0.007
BMI,GCST002783,BMI,Obesity,0.7633,0.0417,18.3156,6.2160e-75,0.3437,0.0422,0.9401,0.0074,0.0406,0.0055
SCZ,SCZ2014,LDL,GCST000759,-0.0041,0.0336,-0.1223,0.9027,0.0922,0.0187,0.9644,0.0294,-0.0072,0.0065
DEP,MDD2012,ALZ,GCST002245,0.1233,0.1239,0.9949,0.3198,0.0705,0.0114,1.0271,0.0091,0.0109,0.0062
ASD,ASD2013,RA,GCST000679,-0.0459,0.0609,-0.7549,0.4503,0.2556,0.0894,0.9208,0.0233,0.0071,0.0069
Bip,BIP2012,DEP,MDD2012,0.522,0.1166,4.4765,7.5870e-06,0.1057,0.0277,1.0329,0.0095,0.1737,0.0083
ALZ,GCST002245,RA,GCST000679,-0.0089,0.0953,-0.0931,0.9258,0.1762,0.0391,0.9466,0.0091,0.0021,0.0044
College,GCST008396,education,years,-0.0892,0.0725,-1.2292,0.219,0.2355,0.0877,0.9369,0.019,-0.0248,0.0053
College,GCST002047,college.txt,T2D-F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCZ,SCZ2014,RA,GCST000679,0.0045,0.0411,0.1099,0.9125,0.2333,0.0841,0.9322,0.0178,0.0229,0.0068
College,GCST002047,college.txt,RA,-0.1058,0.0719,-1.4713,0.1412,0.2323,0.0875,0.9385,0.019,-0.0214,0.005
TRY,GCST000758,trigly,HDL,-0.6288,0.1078,-5.8319,5.4810e-09,0.0855,0.0236,0.9764,0.0535,-0.3715,0.0161
College,GCST002047,college.txt,HDL,0.2994,0.0622,4.8152,1.4704e-06,0.0855,0.0236,0.9789,0.0547,0.0125,0.0058
Bip,BIP2012,RA,GCST000679,-0.0858,0.0749,-1.1454,0.252,0.2407,0.0793,0.926,0.0203,-0.0106,0.0069
HDL,GCST000755,HDL,T2D-M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,
ALZ,GCST002245,Obesity,GCST001475,-0.0469,0.0923,-0.5077,0.6117,0.3477,0.0436,0.9389,0.0075,0.0058,0.0047
ALZ,GCST002245,TRY,GCST000758,-0.068,0.0651,-1.0445,0.2962,0.1444,0.0266,0.8835,0.0151,0.0192,0.0056
,,,,,,,,,,,,,
TRY,GCST000758,trigly,T2D-F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BMI,GCST002783,BMI,T2D-M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bip,BIP2012,HDL,GCST000755,0.0041,0.0574,0.0711,0.9433,0.0865,0.0191,0.9658,0.0399,0.0082,0.0068
SCZ,SCZ2014,HDL,GCST000755,0.0451,0.0395,1.1405,0.2541,0.0844,0.0251,0.9789,0.0563,0.0066,0.0085
LDL,GCST000759,LDL,RA,-0.0262,0.0568,-0.4615,0.6444,0.2336,0.0858,0.9359,0.0177,-0.0034,0.0059
ALZ,GCST002245,LDL,GCST000759,0.0723,0.0876,0.8245,0.4096,0.0945,0.0178,0.9606,0.0254,0.0085,0.01
DEP,MDD2012,LDL,GCST000759,-0.112,0.0933,-1.1997,0.2303,0.1033,0.0182,0.9408,0.0226,0.0026,0.0065
SCZ,SCZ2014,CAD,GCST000998,-0.0212,0.0458,-0.4637,0.6429,0.0641,0.0092,1.0385,0.0097,0.0385,0.0067
SCZ,SCZ2014,TRY,GCST000758,-0.021,0.0353,-0.5935,0.5528,0.1419,0.0274,0.8876,0.0173,-0.0082,0.0077
HDL,GCST000755,HDL,RA,0.0268,0.0553,0.4845,0.628,0.2338,0.0856,0.9357,0.0177,-0.0059,0.005
ALZ,GCST002245,T2D-M,GCST005047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College,GCST002047,college.txt,T2D-M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASD,ASD2013,Bip,BIP2012,0.8145,0.0372,21.8754,4.4549e-106,0.3773,0.042,1.0403,0.0118,0.507,0.0095
SCZ,SCZ2014,ALZ,GCST002245,0.0185,0.0536,0.3458,0.7295,0.0525,0.0144,1.0549,0.0231,0.0333,0.0069
DEP,MDD2012,CAD,GCST000998,0.0043,0.111,0.0384,0.9694,0.064,0.009,1.0391,0.0108,0.0345,0.0063
DEP,MDD2012,T2D-M,GCST005047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCZ,SCZ2014,T2D-F,GCST005047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASD,ASD2013,TRY,GCST000758,0.0149,0.0451,0.3296,0.7417,0.1449,0.0281,0.885,0.0228,-0.0116,0.0077
DEP,MDD2012,RA,GCST000679,-0.0258,0.0856,-0.301,0.7634,0.2433,0.0941,0.9302,0.023,0.0011,0.0062
CAD,GCST000998,CAD,LDL,0.1653,0.0658,2.511,0.012,0.0907,0.0183,0.962,0.0266,0.0356,0.0072
ALZ,GCST002245,CAD,GCST000998,0.0354,0.0952,0.3718,0.7101,0.0627,0.0087,1.0407,0.0091,0.0082,0.0056
SCZ,SCZ2014,T2D-M,GCST005047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASD,ASD2013,Obesity,GCST001475,-0.0462,0.0639,-0.7223,0.4701,0.3359,0.0447,0.9468,0.0095,-0.0025,0.0069
DEP,MDD2012,College,GCST008396,-0.031,0.0947,-0.3271,0.7436,0.0706,0.007,1.0609,0.0122,-0.0007,0.0072
ASD,ASD2013,College,GCST002047,0.148,0.062,2.3879,0.0169,0.0629,0.0064,1.0691,0.0122,0.0154,0.0082
Bip,BIP2012,T2D-F,GCST005047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College,GCST008396,education,years,-0.2448,0.0486,-5.0328,4.8346e-07,0.1424,0.0265,0.8883,0.0161,-0.018,0.0059
ALZ,GCST002245,HDL,GCST000755,0.1939,0.0898,2.1591,0.0308,0.0866,0.024,0.9747,0.0545,-0.0202,0.0058
CAD,GCST000998,CAD,T2D-F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LDL,GCST000759,LDL,HDL,0.087,0.0766,1.1354,0.2562,0.0856,0.0236,0.9762,0.0535,-0.1079,0.0117
BMI,GCST002783,BMI,HDL,-0.3755,0.0578,-6.5001,8.0256e-11,0.0856,0.0239,0.9777,0.0545,-0.1269,0.0062
CAD,GCST000998,CAD,T2D-M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASD,ASD2013,HDL,GCST000755,0.0556,0.0615,0.9043,0.3658,0.0828,0.0211,0.9819,0.0476,0.0078,0.008
College,GCST002047,college.txt,Obesity,-0.2407,0.0575,-4.1858,2.8414e-05,0.3366,0.045,0.9436,0.0083,0.002,0.0057
HDL,GCST000755,HDL,Obesity,-0.181,0.0647,-2.7983,0.0051,0.3417,0.041,0.9407,0.0074,-0.0162,0.0056
ASD,ASD2013,CAD,GCST000998,-0.0663,0.0741,-0.8953,0.3706,0.0652,0.0099,1.0359,0.0113,0.0482,0.0071
College,GCST002047,college.txt,LDL,-0.1205,0.0513,-2.3464,0.019,0.0899,0.0188,0.9717,0.0303,-0.0122,0.006
ASD,ASD2013,BMI,GCST002783,-0.0624,0.0341,-1.8294,0.0673,0.1375,0.0096,0.7242,0.0163,-0.0002,0.0074
College,GCST008396,education,years,-0.256,0.0558,-4.5882,4.4713e-06,0.339,0.0435,0.9429,0.0083,0.0046,0.0055
LDL,GCST000759,LDL,T2D-F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALZ,GCST002245,College,GCST002047,-0.3105,0.0792,-3.9211,8.8150e-05,0.0659,0.0058,1.0548,0.01,-0.0129,0.006
,,,,,,,,,,,,,
College,GCST002047,college.txt,BMI,-0.2352,0.0317,-7.4246,1.1313e-13,0.1377,0.0081,0.7278,0.0119,-0.0481,0.0063
DEP,MDD2012,T2D-F,GCST005047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LDL,GCST000759,LDL,T2D-M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
