type,selection,id,disease,disease_subtype,label,filename,ref_genome,snp,a1,a2,frq,z,b,OR,se_beta,se_OR,p,N_col,N_num,Nca_col,Nca_val,Nco_col,Nco_val,INFO,ignore,local_raw_path,remote_raw_path,shared_raw_path,local_preprocessed_path,remote_preprocessed_path,shared_preprocessed_path,munged,local_munged_path,remote_munged_path,shared_munged_path,wrangled,local_wrangled_path,remote_wrangled_path,shared_wrangled_path
CAN,minor,GCST90428117,prostate cancer,,prostate-cancer,GCST90428117.tsv.gz,,rs_id,effect_allele,other_allele,effect_allele_frequency,,beta,,standard_error,,p_value,n,151994,,7822,,144172,,variant_id,/home/maria/git/SOROLLA/SumStats/RAW/GCST90428117.tsv.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90428117.tsv.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90428117.tsv.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/prostate-cancer_GCST90428117.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/prostate-cancer_GCST90428117.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/prostate-cancer_GCST90428117.tsv,False,,,,False,,,
CAN,main,GCST90320057,renal cancer,,renal-carcinoma,GCST90320057.tsv.gz,,rsid,effect_allele,other_allele,effect_allele_frequency,,beta,,standard_error,,p_value,,769475,n_cases,25890,n_samples,743585,,variant_id,/home/maria/git/SOROLLA/SumStats/RAW/GCST90320057.tsv.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90320057.tsv.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90320057.tsv.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/renal-carcinoma_GCST90320057.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/renal-carcinoma_GCST90320057.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/renal-carcinoma_GCST90320057.tsv,False,,,,False,,,
PSY,subtype,GCST90275156,schizophrenia,"age, sex",schizo-age-sex-M1,GCST90275156.tsv,GRCh37,rs_id,effect_allele,other_allele,effect_allele_frequency,z,beta,,standard_error,,p_value,,48523,,11602,,36921,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90275156.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90275156.tsv,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90275156.tsv,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/schizo-age-sex-M1_GCST90275156.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/schizo-age-sex-M1_GCST90275156.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/schizo-age-sex-M1_GCST90275156.tsv,False,,,,False,,,
PSY,subtype,GCST90275157,schizophrenia,sex,schizo-sex-M1,GCST90275157.tsv,GRCh37,rs_id,effect_allele,other_allele,effect_allele_frequency,z,beta,,standard_error,,p_value,,48523,,11602,,36921,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90275157.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90275157.tsv,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90275157.tsv,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/schizo-sex-M1_GCST90275157.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/schizo-sex-M1_GCST90275157.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/schizo-sex-M1_GCST90275157.tsv,False,,,,False,,,
PSY,minor,GCST90275158,schizophrenia,,schizophrenia-M1,GCST90275158.tsv,GRCh37,rs_id,effect_allele,other_allele,effect_allele_frequency,z,beta,,standard_error,,p_value,,48523,,11602,,36921,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90275158.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90275158.tsv,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90275158.tsv,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/schizophrenia-M1_GCST90275158.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/schizophrenia-M1_GCST90275158.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/schizophrenia-M1_GCST90275158.tsv,False,,,,False,,,
PSY,main,GCST90128471-all,schizophrenia,,SCZ-PGC-2022-all,GCST90128471-all.gz,,ID,A1,A2,,,BETA,,SE,,PVAL,,130644,NCAS,53386,NCON,77258,IMPINFO,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90128471-all.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90128471-all.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90128471-all.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/SCZ-PGC-2022-all_GCST90128471-all.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/SCZ-PGC-2022-all_GCST90128471-all.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/SCZ-PGC-2022-all_GCST90128471-all.tsv,False,,,,False,,,
PSY,minor,GCST90128471-male,schizophrenia,males,SCZ-PGC-2022-males,GCST90128471-male.gz,,SNP,A1,A2,,,,OR,,SE,P,,68287,Nca,33097,Nco,35190,INFO,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90128471-male.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90128471-male.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90128471-male.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/SCZ-PGC-2022-males_GCST90128471-male.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/SCZ-PGC-2022-males_GCST90128471-male.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/SCZ-PGC-2022-males_GCST90128471-male.tsv,False,,,,False,,,
PSY,minor,GCST90128471-females,schizophrenia,females,SCZ-PGC-2022-females,GCST90128471-females.gz,,SNP,A1,A2,,,,OR,,SE,P,,54663,Nca,17760,Nco,36903,INFO,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90128471-females.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90128471-females.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90128471-females.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/SCZ-PGC-2022-females_GCST90128471-females.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/SCZ-PGC-2022-females_GCST90128471-females.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/SCZ-PGC-2022-females_GCST90128471-females.tsv,False,,,,False,,,
PSY,minor,GCST009337,schizophrenia,,SCZ-PGC-2019,GCST009337.gz,,SNP,A1,A2,,,,OR,,SE,P,,77096,Nca,33640,Nco,43456,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST009337.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST009337.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST009337.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/SCZ-PGC-2019_GCST009337.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/SCZ-PGC-2019_GCST009337.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/SCZ-PGC-2019_GCST009337.tsv,False,,,,False,,,
PSY,minor,GCST006803,schizophrenia,,SCZ-PGC-2018,GCST006803.gz,,SNP,A1,A2,,,,OR,,SE,P,,35802,,11260,,24542,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST006803.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST006803.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST006803.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/SCZ-PGC-2018_GCST006803.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/SCZ-PGC-2018_GCST006803.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/SCZ-PGC-2018_GCST006803.tsv,False,,,,False,,,
